Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: Consent
1,1713359109157,17/04/2024 13:05:09,1713362709157,1,17/04/2024 15:05:09,131657,11,task-ayab,,37088176,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Consent,5,42,consent,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,
2,1713359129941,17/04/2024 13:05:29,1713362729941,1,17/04/2024 15:05:29,131657,11,task-ayab,,37088176,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Consent,5,42,consent,Spreadsheet1,Spreadsheet1,1,Consent,Screen 1,efjs3o,1,continue,,20796.400000000558,20783.5,20796.400000000558,20796.400000000558,20783.5,20796.400000000558,1,20796.400000000558,0,0,,Click To Continue,Continue Button,4,object-9,Consent,,
3,1713359129946,17/04/2024 13:05:29,1713362729946,1,17/04/2024 15:05:29,131657,11,task-ayab,,37088176,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Consent,5,42,consent,Spreadsheet1,Spreadsheet1,1,Consent,Screen 1,efjs3o,1,response,I consent,19900.2,20783.5,20800.100000000002,19900.2,20783.5,20800.100000000002,1,19900.2,899.9000000000015,0,,Dropdown,Consent,3,object-8,Consent,,I consent
4,1713359129954,17/04/2024 13:05:29,1713362729954,1,17/04/2024 15:05:29,131657,11,task-ayab,,37088176,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Consent,5,42,consent,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,,
1,1713359239357,17/04/2024 13:07:19,1713362839357,1,17/04/2024 15:07:19,131657,11,task-ayab,,37088265,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Consent,5,17,consent,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,
2,1713359245140,17/04/2024 13:07:25,1713362845140,1,17/04/2024 15:07:25,131657,11,task-ayab,,37088265,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Consent,5,17,consent,Spreadsheet1,Spreadsheet1,1,Consent,Screen 1,efjs3o,1,continue,,5790.64,5779.3,5790.64,5790.64,5779.3,5790.64,1,5790.64,0,0,,Click To Continue,Continue Button,4,object-9,Consent,,
3,1713359245141,17/04/2024 13:07:25,1713362845141,1,17/04/2024 15:07:25,131657,11,task-ayab,,37088265,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Consent,5,17,consent,Spreadsheet1,Spreadsheet1,1,Consent,Screen 1,efjs3o,1,response,I consent,4529.4400000000005,5779.3,5791.64,4529.4400000000005,5779.3,5791.64,1,4529.4400000000005,1262.1999999999998,0,,Dropdown,Consent,3,object-8,Consent,,I consent
4,1713359245143,17/04/2024 13:07:25,1713362845143,1,17/04/2024 15:07:25,131657,11,task-ayab,,37088265,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Consent,5,17,consent,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,,
1,1713359283325,17/04/2024 13:08:03,1713362883325,1,17/04/2024 15:08:03,131657,11,task-ayab,,37088306,BLIND,10937310,,complete,,661fc9a3c8a577a8f3c14679,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Consent,5,6,consent,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,
2,1713359304786,17/04/2024 13:08:24,1713362904786,1,17/04/2024 15:08:24,131657,11,task-ayab,,37088306,BLIND,10937310,,complete,,661fc9a3c8a577a8f3c14679,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Consent,5,6,consent,Spreadsheet1,Spreadsheet1,1,Consent,Screen 1,efjs3o,1,continue,,21490.199999976157,21481.1,21490.199999976157,21490.199999976157,21481.1,21490.199999976157,1,21490.199999976157,0,0,,Click To Continue,Continue Button,4,object-9,Consent,,
