Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1713359141991,17/04/2024 13:05:41,1713362741991,1,17/04/2024 15:05:41,131657,11,task-f6yr,,37088200,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Instructions_2,5,42,consent,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1713359178855,17/04/2024 13:06:18,1713362778855,1,17/04/2024 15:06:18,131657,11,task-f6yr,,37088200,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Instructions_2,5,42,consent,Spreadsheet1,Spreadsheet1,1,Instructions,Screen 1,fv5ahy,1,continue,,36165.60000000112,36150.4,36165.60000000112,36165.60000000112,36150.4,36165.60000000112,1,36165.60000000112,0,0,,Click To Continue,Click To Continue,6,object-13,Instructions,
3,1713359241534,17/04/2024 13:07:21,1713362841534,1,17/04/2024 15:07:21,131657,11,task-f6yr,,37088200,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Instructions_2,5,42,consent,Spreadsheet1,Spreadsheet1,1,Instructions,Screen 2,v3o9m6,2,continue,,62694.59999999963,62683.399999999994,62694.59999999963,62694.59999999963,62683.399999999994,62694.59999999963,1,62694.59999999963,0,0,,Click To Continue,Click To Continue,2,object-16,Instructions,
4,1713359278071,17/04/2024 13:07:58,1713362878071,1,17/04/2024 15:07:58,131657,11,task-f6yr,,37088200,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Instructions_2,5,42,consent,Spreadsheet1,Spreadsheet1,1,Instructions,Screen 3,yxrkj4,3,continue,,36547.80000000112,36533.399999999994,36547.80000000112,36547.80000000112,36533.399999999994,36547.80000000112,1,36547.80000000112,0,0,,Click To Continue,Next,2,object-26,Instructions,
5,1713359278077,17/04/2024 13:07:58,1713362878077,1,17/04/2024 15:07:58,131657,11,task-f6yr,,37088200,BLIND,10937270,,complete,,661fc8f6eba9dbd1cc8529d7,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Instructions_2,5,42,consent,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1713359256435,17/04/2024 13:07:36,1713362856435,1,17/04/2024 15:07:36,131657,11,task-f6yr,,37088278,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Instructions_2,5,17,consent,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1713359305008,17/04/2024 13:08:25,1713362905008,1,17/04/2024 15:08:25,131657,11,task-f6yr,,37088278,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Instructions_2,5,17,consent,Spreadsheet1,Spreadsheet1,1,Instructions,Screen 1,fv5ahy,1,continue,,45131.84,45127.03999999999,45131.84,45131.84,45127.03999999999,45131.84,1,45131.84,0,0,,Click To Continue,Click To Continue,6,object-13,Instructions,
3,1713359316903,17/04/2024 13:08:36,1713362916903,1,17/04/2024 15:08:36,131657,11,task-f6yr,,37088278,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Instructions_2,5,17,consent,Spreadsheet1,Spreadsheet1,1,Instructions,Screen 2,v3o9m6,2,continue,,11899.800000000003,11898.36,11899.800000000003,11899.800000000003,11898.36,11899.800000000003,1,11899.800000000003,0,0,,Click To Continue,Click To Continue,7,object-21,Instructions,
4,1713359325604,17/04/2024 13:08:45,1713362925604,1,17/04/2024 15:08:45,131657,11,task-f6yr,,37088278,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Instructions_2,5,17,consent,Spreadsheet1,Spreadsheet1,1,Instructions,Screen 3,yxrkj4,3,continue,,8702.440000000002,8698.800000000003,8702.440000000002,8702.440000000002,8698.800000000003,8702.440000000002,1,8702.440000000002,0,0,,Click To Continue,Next,2,object-26,Instructions,
5,1713359325605,17/04/2024 13:08:45,1713362925605,1,17/04/2024 15:08:45,131657,11,task-f6yr,,37088278,BLIND,10937291,,complete,,661fc97e00dc09ef555bb112,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1536x864,1536x739,,,0,Instructions_2,5,17,consent,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
