Spreadsheet;bug_id;dimension;dim_value;feature_type
Spreadsheet1;1;4;1;strong
Spreadsheet1;1;1;1;weak
Spreadsheet1;1;3;1;weak
Spreadsheet1;2;4;2;strong
Spreadsheet1;2;1;2;weak
Spreadsheet1;2;3;2;weak
Spreadsheet2;1;3;1;strong
Spreadsheet2;1;1;1;weak
Spreadsheet2;1;4;1;weak
Spreadsheet2;2;3;2;strong
Spreadsheet2;2;1;2;weak
Spreadsheet2;2;4;2;weak
Spreadsheet3;1;4;1;strong
Spreadsheet3;1;1;1;weak
Spreadsheet3;1;3;1;weak
Spreadsheet3;2;4;2;strong
Spreadsheet3;2;1;2;weak
Spreadsheet3;2;3;2;weak
Spreadsheet4;1;3;1;strong
Spreadsheet4;1;1;1;weak
Spreadsheet4;1;4;1;weak
Spreadsheet4;2;3;2;strong
Spreadsheet4;2;1;2;weak
Spreadsheet4;2;4;2;weak
Spreadsheet5;1;1;1;strong
Spreadsheet5;1;3;1;weak
Spreadsheet5;1;4;1;weak
Spreadsheet5;2;1;2;strong
Spreadsheet5;2;3;2;weak
Spreadsheet5;2;4;2;weak
Spreadsheet6;1;1;1;strong
Spreadsheet6;1;3;1;weak
Spreadsheet6;1;4;1;weak
Spreadsheet6;2;1;2;strong
Spreadsheet6;2;3;2;weak
Spreadsheet6;2;4;2;weak
Spreadsheet7;1;4;2;strong
Spreadsheet7;1;1;1;weak
Spreadsheet7;1;3;1;weak
Spreadsheet7;2;4;1;strong
Spreadsheet7;2;1;2;weak
Spreadsheet7;2;3;2;weak
Spreadsheet8;1;3;1;strong
Spreadsheet8;1;1;1;weak
Spreadsheet8;1;4;2;weak
Spreadsheet8;2;3;2;strong
Spreadsheet8;2;1;2;weak
Spreadsheet8;2;4;1;weak
Spreadsheet9;1;4;2;strong
Spreadsheet9;1;1;1;weak
Spreadsheet9;1;3;1;weak
Spreadsheet9;2;4;1;strong
Spreadsheet9;2;1;2;weak
Spreadsheet9;2;3;2;weak
Spreadsheet10;1;3;1;strong
Spreadsheet10;1;1;1;weak
Spreadsheet10;1;4;2;weak
Spreadsheet10;2;3;2;strong
Spreadsheet10;2;1;2;weak
Spreadsheet10;2;4;1;weak
Spreadsheet11;1;1;1;strong
Spreadsheet11;1;3;1;weak
Spreadsheet11;1;4;2;weak
Spreadsheet11;2;1;2;strong
Spreadsheet11;2;3;2;weak
Spreadsheet11;2;4;1;weak
Spreadsheet12;1;1;1;strong
Spreadsheet12;1;3;1;weak
Spreadsheet12;1;4;2;weak
Spreadsheet12;2;1;2;strong
Spreadsheet12;2;3;2;weak
Spreadsheet12;2;4;1;weak
Spreadsheet13;1;4;1;strong
Spreadsheet13;1;1;1;weak
Spreadsheet13;1;3;2;weak
Spreadsheet13;2;4;2;strong
Spreadsheet13;2;1;2;weak
Spreadsheet13;2;3;1;weak
Spreadsheet14;1;3;2;strong
Spreadsheet14;1;1;1;weak
Spreadsheet14;1;4;1;weak
Spreadsheet14;2;3;1;strong
Spreadsheet14;2;1;2;weak
Spreadsheet14;2;4;2;weak
Spreadsheet15;1;4;1;strong
Spreadsheet15;1;1;1;weak
Spreadsheet15;1;3;2;weak
Spreadsheet15;2;4;2;strong
Spreadsheet15;2;1;2;weak
Spreadsheet15;2;3;1;weak
Spreadsheet16;1;3;2;strong
Spreadsheet16;1;1;1;weak
Spreadsheet16;1;4;1;weak
Spreadsheet16;2;3;1;strong
Spreadsheet16;2;1;2;weak
Spreadsheet16;2;4;2;weak
Spreadsheet17;1;1;1;strong
Spreadsheet17;1;3;2;weak
Spreadsheet17;1;4;1;weak
