Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695314531452,21/09/2023 16:42:11,1695300131452,-4,21/09/2023 08:42:11,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695314533426,21/09/2023 16:42:13,1695300133426,-4,21/09/2023 08:42:13,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2003.4450000357629,2001.6000000000004,2003.4450000357629,2003.4450000357629,2001.6000000000004,2003.4450000357629,1,2003.4450000357629,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695314534425,21/09/2023 16:42:14,1695300134425,-4,21/09/2023 08:42:14,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,1,bug_images,Screen 1,4vghlo,1,timedOut,,1001.9449999999997,1000.7999999999993,1001.9449999999997,1001.9449999999997,1000.7999999999993,1001.9449999999997,1,1001.9449999999997,0,0,,Time Limit,screen,0,screen,bug_images,6,11,21211.jpg,,rescher.JPG,,,21211_2,,,,,,,,,,
4,1695314536428,21/09/2023 16:42:16,1695300136428,-4,21/09/2023 08:42:16,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2004.1450000000004,2001.6000000000004,2004.1450000000004,2004.1450000000004,2001.6000000000004,2004.1450000000004,1,2004.1450000000004,0,0,,Time Limit,screen,0,screen,bug_images,6,11,21211.jpg,,rescher.JPG,,,21211_2,,,,,,,,,,
5,1695314536930,21/09/2023 16:42:16,1695300136930,-4,21/09/2023 08:42:16,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,1,bug_images,Screen 3,o7ugiu,3,timedOut,,504.24499998807914,500.39999999999964,504.24499998807914,504.24499998807914,500.39999999999964,504.24499998807914,1,504.24499998807914,0,0,,Time Limit,screen,0,screen,bug_images,6,11,21211.jpg,,rescher.JPG,,,21211_2,,,,,,,,,,
6,1695314537928,21/09/2023 16:42:17,1695300137928,-4,21/09/2023 08:42:17,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,1,bug_images,Screen 4,3mgwer,4,timedOut,,1002.2450000238423,1000.8000000000011,1002.2450000238423,1002.2450000238423,1000.8000000000011,1002.2450000238423,1,1002.2450000238423,0,0,,Time Limit,screen,0,screen,bug_images,6,11,21211.jpg,,rescher.JPG,,,21211_2,,,,,,,,,,
7,1695314538930,21/09/2023 16:42:18,1695300138930,-4,21/09/2023 08:42:18,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,2,bug_images,Screen 1,4vghlo,1,timedOut,,1003.1450000119203,1000.7999999999993,1003.1450000119203,1003.1450000119203,1000.7999999999993,1003.1450000119203,1,1003.1450000119203,0,0,,Time Limit,screen,0,screen,bug_images,6,11,11121.jpg,,unters.JPG,,,11121_1,,,,,,,,,,
8,1695314540931,21/09/2023 16:42:20,1695300140931,-4,21/09/2023 08:42:20,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2003.545,2001.6000000000004,2003.545,2003.545,2001.6000000000004,2003.545,1,2003.545,0,0,,Time Limit,screen,0,screen,bug_images,6,11,11121.jpg,,unters.JPG,,,11121_1,,,,,,,,,,
9,1695314541433,21/09/2023 16:42:21,1695300141433,-4,21/09/2023 08:42:21,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,2,bug_images,Screen 3,o7ugiu,3,timedOut,,503.54500002384157,500.64899999999943,503.54500002384157,503.54500002384157,500.64899999999943,503.54500002384157,1,503.54500002384157,0,0,,Time Limit,screen,0,screen,bug_images,6,11,11121.jpg,,unters.JPG,,,11121_1,,,,,,,,,,
10,1695314542432,21/09/2023 16:42:22,1695300142432,-4,21/09/2023 08:42:22,131657,10,task-3rr9,,31778335,BLIND,9398850,,complete,,650c3959d135040d306770f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,2560x1440,2441x1245,,,0,bugs_2,14,11,consent,Spreadsheet11,2,bug_images,Screen 4,3mgwer,4,timedOut,,1002.2960000000003,1000.8000000000011,1002.2960000000003,1002.2960000000003,1000.8000000000011,1002.2960000000003,1,1002.2960000000003,0,0,,Time Limit,screen,0,screen,bug_images,6,11,11121.jpg,,unters.JPG,,,11121_1,,,,,,,,,,
