Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209200904,05/11/2023 18:33:20,1699209200904,0,05/11/2023 18:33:20,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209202882,05/11/2023 18:33:22,1699209202882,0,05/11/2023 18:33:22,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2000.166000000745,1999.8319999999999,2000.166000000745,2000.166000000745,1999.8319999999999,2000.166000000745,1,2000.166000000745,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209203882,05/11/2023 18:33:23,1699209203882,0,05/11/2023 18:33:23,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.2340000011177,1000,1000.2340000011177,1000.2340000011177,1000,1000.2340000011177,1,1000.2340000011177,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,angen.JPG,,,11211_2,,,,,,,,,,
4,1699209205882,05/11/2023 18:33:25,1699209205882,0,05/11/2023 18:33:25,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.1339999996276,2000.016,2000.1339999996276,2000.1339999996276,2000.016,2000.1339999996276,1,2000.1339999996276,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,angen.JPG,,,11211_2,,,,,,,,,,
5,1699209206382,05/11/2023 18:33:26,1699209206382,0,05/11/2023 18:33:26,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.1179999996275,499.9920000000002,500.1179999996275,500.1179999996275,499.9920000000002,500.1179999996275,1,500.1179999996275,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,angen.JPG,,,11211_2,,,,,,,,,,
6,1699209207382,05/11/2023 18:33:27,1699209207382,0,05/11/2023 18:33:27,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.2260000011174,1000.0019999999995,1000.2260000011174,1000.2260000011174,1000.0019999999995,1000.2260000011174,1,1000.2260000011174,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,angen.JPG,,,11211_2,,,,,,,,,,
7,1699209208382,05/11/2023 18:33:28,1699209208382,0,05/11/2023 18:33:28,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.2240000011179,1000.0029999999997,1000.2240000011179,1000.2240000011179,1000.0029999999997,1000.2240000011179,1,1000.2240000011179,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21121.jpg,,wicher.JPG,,,21121_1,,,,,,,,,,
8,1699209210382,05/11/2023 18:33:30,1699209210382,0,05/11/2023 18:33:30,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.2210000011182,2000.0150000000012,2000.2210000011182,2000.2210000011182,2000.0150000000012,2000.2210000011182,1,2000.2210000011182,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21121.jpg,,wicher.JPG,,,21121_1,,,,,,,,,,
9,1699209210882,05/11/2023 18:33:30,1699209210882,0,05/11/2023 18:33:30,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.206000001117,500,500.206000001117,500.206000001117,500,500.206000001117,1,500.206000001117,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21121.jpg,,wicher.JPG,,,21121_1,,,,,,,,,,
10,1699209211882,05/11/2023 18:33:31,1699209211882,0,05/11/2023 18:33:31,131657,10,task-3yrk,,32721660,BLIND,9682889,,complete,,6547dfa812d4702680d55d87,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,0,bugs_2,14,31,consent,Spreadsheet31,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.206000001117,999.991,1000.206000001117,1000.206000001117,999.991,1000.206000001117,1,1000.206000001117,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21121.jpg,,wicher.JPG,,,21121_1,,,,,,,,,,
