Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209566638,05/11/2023 18:39:26,1699213166638,1,05/11/2023 20:39:26,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209568619,05/11/2023 18:39:28,1699213168619,1,05/11/2023 20:39:28,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2005.4320000000007,2001.1290000000008,2005.4320000000007,2005.4320000000007,2001.1290000000008,2005.4320000000007,1,2005.4320000000007,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209601692,05/11/2023 18:40:01,1699213201692,1,05/11/2023 20:40:01,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,1,bug_images,Screen 1,4vghlo,1,timedOut,,25961.52100000894,25948.961999999996,25961.52100000894,25961.52100000894,25948.961999999996,25961.52100000894,1,25961.52100000894,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21111.jpg,,wicher.JPG,,,21111_1,,,,,,,,,,
4,1699209603685,05/11/2023 18:40:03,1699213203685,1,05/11/2023 20:40:03,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2005.7590000119235,2001.9619999999995,2005.7590000119235,2005.7590000119235,2001.9619999999995,2005.7590000119235,1,2005.7590000119235,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21111.jpg,,wicher.JPG,,,21111_1,,,,,,,,,,
5,1699209604185,05/11/2023 18:40:04,1699213204185,1,05/11/2023 20:40:04,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,1,bug_images,Screen 3,o7ugiu,3,timedOut,,504.19700000298326,499.9800000000032,504.19700000298326,504.19700000298326,499.9800000000032,504.19700000298326,1,504.19700000298326,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21111.jpg,,wicher.JPG,,,21111_1,,,,,,,,,,
6,1699209605184,05/11/2023 18:40:05,1699213205184,1,05/11/2023 20:40:05,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,1,bug_images,Screen 4,3mgwer,4,timedOut,,1003.3170000119208,999.9599999999991,1003.3170000119208,1003.3170000119208,999.9599999999991,1003.3170000119208,1,1003.3170000119208,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21111.jpg,,wicher.JPG,,,21111_1,,,,,,,,,,
7,1699209606184,05/11/2023 18:40:06,1699213206184,1,05/11/2023 20:40:06,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,2,bug_images,Screen 1,4vghlo,1,timedOut,,1003.5570000000007,999.9599999999991,1003.5570000000007,1003.5570000000007,999.9599999999991,1003.5570000000007,1,1003.5570000000007,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,wicher.JPG,,,11111_1,,,,,,,,,,
8,1699209608185,05/11/2023 18:40:08,1699213208185,1,05/11/2023 20:40:08,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2003.8970000119225,1999.9199999999983,2003.8970000119225,2003.8970000119225,1999.9199999999983,2003.8970000119225,1,2003.8970000119225,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,wicher.JPG,,,11111_1,,,,,,,,,,
9,1699209608685,05/11/2023 18:40:08,1699213208685,1,05/11/2023 20:40:08,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,2,bug_images,Screen 3,o7ugiu,3,timedOut,,504.1770000000033,499.9800000000032,504.1770000000033,504.1770000000033,499.9800000000032,504.1770000000033,1,504.1770000000033,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,wicher.JPG,,,11111_1,,,,,,,,,,
10,1699209609685,05/11/2023 18:40:09,1699213209685,1,05/11/2023 20:40:09,131657,10,task-53sm,,32721729,BLIND,9682908,,complete,,6547e031daa4e2a2162b4a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x821,,,0,bugs_2,14,25,consent,Spreadsheet25,2,bug_images,Screen 4,3mgwer,4,timedOut,,1003.997000011921,999.9599999999991,1003.997000011921,1003.997000011921,999.9599999999991,1003.997000011921,1,1003.997000011921,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,wicher.JPG,,,11111_1,,,,,,,,,,
