Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209725906,05/11/2023 18:42:05,1699209725906,0,05/11/2023 18:42:05,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209727881,05/11/2023 18:42:07,1699209727881,0,05/11/2023 18:42:07,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.3109999761582,2001.0300000000007,2002.3109999761582,2002.3109999761582,2001.0300000000007,2002.3109999761582,1,2002.3109999761582,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209729662,05/11/2023 18:42:09,1699209729662,0,05/11/2023 18:42:09,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.0229999880794,999.1220000000012,1000.0229999880794,1000.0229999880794,999.1220000000012,1000.0229999880794,1,1000.0229999880794,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
4,1699209731660,05/11/2023 18:42:11,1699209731660,0,05/11/2023 18:42:11,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,1,bug_images,Screen 2,fzyf7b,2,timedOut,,1999.00100001192,1998.08,1999.00100001192,1999.00100001192,1998.08,1999.00100001192,1,1999.00100001192,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
5,1699209732160,05/11/2023 18:42:12,1699209732160,0,05/11/2023 18:42:12,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.4210000119201,499.54099999999744,500.4210000119201,500.4210000119201,499.54099999999744,500.4210000119201,1,500.4210000119201,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
6,1699209733159,05/11/2023 18:42:13,1699209733159,0,05/11/2023 18:42:13,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,1,bug_images,Screen 4,3mgwer,4,timedOut,,999.9799999761599,999.0700000000033,999.9799999761599,999.9799999761599,999.0700000000033,999.9799999761599,1,999.9799999761599,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
7,1699209734158,05/11/2023 18:42:14,1699209734158,0,05/11/2023 18:42:14,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,2,bug_images,Screen 1,4vghlo,1,timedOut,,999.8100000119193,998.9729999999981,999.8100000119193,999.8100000119193,998.9729999999981,999.8100000119193,1,999.8100000119193,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,orgen.JPG,,,21111_1,,,,,,,,,,
8,1699209736156,05/11/2023 18:42:16,1699209736156,0,05/11/2023 18:42:16,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,2,bug_images,Screen 2,fzyf7b,2,timedOut,,1999.1370000238421,1998.242000000002,1999.1370000238421,1999.1370000238421,1998.242000000002,1999.1370000238421,1,1999.1370000238421,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,orgen.JPG,,,21111_1,,,,,,,,,,
9,1699209736655,05/11/2023 18:42:16,1699209736655,0,05/11/2023 18:42:16,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.29499999999825,499.5679999999993,500.29499999999825,500.29499999999825,499.5679999999993,500.29499999999825,1,500.29499999999825,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,orgen.JPG,,,21111_1,,,,,,,,,,
10,1699209737654,05/11/2023 18:42:17,1699209737654,0,05/11/2023 18:42:17,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,2,bug_images,Screen 4,3mgwer,4,timedOut,,999.426999988078,998.9519999999975,999.426999988078,999.426999988078,998.9519999999975,999.426999988078,1,999.426999988078,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,orgen.JPG,,,21111_1,,,,,,,,,,
11,1699209738654,05/11/2023 18:42:18,1699209738654,0,05/11/2023 18:42:18,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,3,bug_images,Screen 1,4vghlo,1,timedOut,,1000.0750000119224,999.1010000000024,1000.0750000119224,1000.0750000119224,999.1010000000024,1000.0750000119224,1,1000.0750000119224,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,orgen.JPG,,,21111_1,,,,,,,,,,
12,1699209740652,05/11/2023 18:42:20,1699209740652,0,05/11/2023 18:42:20,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,3,bug_images,Screen 2,fzyf7b,2,timedOut,,1999.274000023841,1998.132999999998,1999.274000023841,1999.274000023841,1998.132999999998,1999.274000023841,1,1999.274000023841,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,orgen.JPG,,,21111_1,,,,,,,,,,
13,1699209741151,05/11/2023 18:42:21,1699209741151,0,05/11/2023 18:42:21,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,3,bug_images,Screen 3,o7ugiu,3,timedOut,,500.341000011922,499.5540000000001,500.341000011922,500.341000011922,499.5540000000001,500.341000011922,1,500.341000011922,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,orgen.JPG,,,21111_1,,,,,,,,,,
14,1699209742150,05/11/2023 18:42:22,1699209742150,0,05/11/2023 18:42:22,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,3,bug_images,Screen 4,3mgwer,4,timedOut,,999.8869999761591,998.9979999999996,999.8869999761591,999.8869999761591,998.9979999999996,999.8869999761591,1,999.8869999761591,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21111.jpg,,orgen.JPG,,,21111_1,,,,,,,,,,
15,1699209743149,05/11/2023 18:42:23,1699209743149,0,05/11/2023 18:42:23,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,4,bug_images,Screen 1,4vghlo,1,timedOut,,999.4890000000014,999.0510000000031,999.4890000000014,999.4890000000014,999.0510000000031,999.4890000000014,1,999.4890000000014,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21121.jpg,,orgen.JPG,,,21121_1,,,,,,,,,,
16,1699209745147,05/11/2023 18:42:25,1699209745147,0,05/11/2023 18:42:25,131657,10,task-8hdx,,32721746,BLIND,9682904,,complete,,6547dfbae221b5d43281c123,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1920x890,,,0,bugs_2,14,28,consent,Spreadsheet28,4,bug_images,Screen 2,fzyf7b,2,timedOut,,1998.8379999761564,1998.1769999999997,1998.8379999761564,1998.8379999761564,1998.1769999999997,1998.8379999761564,1,1998.8379999761564,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21121.jpg,,orgen.JPG,,,21121_1,,,,,,,,,,
