Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695296077346,21/09/2023 11:34:37,1695299677346,1,21/09/2023 13:34:37,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695296079445,21/09/2023 11:34:39,1695299679445,1,21/09/2023 13:34:39,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,1,progress_screen,Screen 1,c3p92z,1,timedOut,,3565,3564,3565,3565,3564,3565,1,3565,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695296080444,21/09/2023 11:34:40,1695299680444,1,21/09/2023 13:34:40,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000,1000,1000,1000,1000,1000,1,1000,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
4,1695296082443,21/09/2023 11:34:42,1695299682443,1,21/09/2023 13:34:42,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000,2000,2000,2000,2000,2000,1,2000,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
5,1695296082945,21/09/2023 11:34:42,1695299682945,1,21/09/2023 13:34:42,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,1,bug_images,Screen 3,o7ugiu,3,timedOut,,501,500,501,501,500,501,1,501,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
6,1695296083944,21/09/2023 11:34:43,1695299683944,1,21/09/2023 13:34:43,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000,1000,1000,1000,1000,1000,1,1000,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
7,1695296084944,21/09/2023 11:34:44,1695299684944,1,21/09/2023 13:34:44,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000,1000,1000,1000,1000,1000,1,1000,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
8,1695296086944,21/09/2023 11:34:46,1695299686944,1,21/09/2023 13:34:46,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000,2000,2000,2000,2000,2000,1,2000,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
9,1695296087444,21/09/2023 11:34:47,1695299687444,1,21/09/2023 13:34:47,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500,500,500,500,500,500,1,500,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
10,1695296088445,21/09/2023 11:34:48,1695299688445,1,21/09/2023 13:34:48,131657,10,task-9y3p,,31778155,BLIND,9398813,,complete,,650c37ee160b154c1d573e2f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x745,,,0,bugs_2,14,12,consent,Spreadsheet12,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001,1000,1001,1001,1000,1001,1,1001,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
