Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209335050,05/11/2023 18:35:35,1699209335050,0,05/11/2023 18:35:35,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209337022,05/11/2023 18:35:37,1699209337022,0,05/11/2023 18:35:37,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.191999988079,2000.151,2002.191999988079,2002.191999988079,2000.151,2002.191999988079,1,2002.191999988079,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209338019,05/11/2023 18:35:38,1699209338019,0,05/11/2023 18:35:38,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.2409999910592,999.4169999999999,1000.2409999910592,1000.2409999910592,999.4169999999999,1000.2409999910592,1,1000.2409999910592,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21111.jpg,,stanis.JPG,,,21111_2,,,,,,,,,,
4,1699209340019,05/11/2023 18:35:40,1699209340019,0,05/11/2023 18:35:40,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.7239999970197,2000.0590000000002,2000.7239999970197,2000.7239999970197,2000.0590000000002,2000.7239999970197,1,2000.7239999970197,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21111.jpg,,stanis.JPG,,,21111_2,,,,,,,,,,
5,1699209340519,05/11/2023 18:35:40,1699209340519,0,05/11/2023 18:35:40,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.66499999701955,500.0169999999998,500.66499999701955,500.66499999701955,500.0169999999998,500.66499999701955,1,500.66499999701955,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21111.jpg,,stanis.JPG,,,21111_2,,,,,,,,,,
6,1699209341522,05/11/2023 18:35:41,1699209341522,0,05/11/2023 18:35:41,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,1,bug_images,Screen 4,3mgwer,4,timedOut,,1002.9479999940395,999.4840000000004,1002.9479999940395,1002.9479999940395,999.4840000000004,1002.9479999940395,1,1002.9479999940395,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21111.jpg,,stanis.JPG,,,21111_2,,,,,,,,,,
7,1699209342520,05/11/2023 18:35:42,1699209342520,0,05/11/2023 18:35:42,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,2,bug_images,Screen 1,4vghlo,1,timedOut,,1001.5639999880786,1000.3950000000004,1001.5639999880786,1001.5639999880786,1000.3950000000004,1001.5639999880786,1,1001.5639999880786,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11221.jpg,,hally.JPG,,,11221_1,,,,,,,,,,
8,1699209344518,05/11/2023 18:35:44,1699209344518,0,05/11/2023 18:35:44,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,2,bug_images,Screen 2,fzyf7b,2,timedOut,,1999.9689999999991,1999.4889999999996,1999.9689999999991,1999.9689999999991,1999.4889999999996,1999.9689999999991,1,1999.9689999999991,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11221.jpg,,hally.JPG,,,11221_1,,,,,,,,,,
9,1699209345019,05/11/2023 18:35:45,1699209345019,0,05/11/2023 18:35:45,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.0799999940391,499.6970000000001,501.0799999940391,501.0799999940391,499.6970000000001,501.0799999940391,1,501.0799999940391,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11221.jpg,,hally.JPG,,,11221_1,,,,,,,,,,
10,1699209346018,05/11/2023 18:35:46,1699209346018,0,05/11/2023 18:35:46,131657,10,task-ba4v,,32721703,BLIND,9682892,,complete,,6547dfa81dc8dbde395ff1a5,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1280x720,,,0,bugs_2,14,21,consent,Spreadsheet21,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.9829999880785,1000.4049999999988,1000.9829999880785,1000.9829999880785,1000.4049999999988,1000.9829999880785,1,1000.9829999880785,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11221.jpg,,hally.JPG,,,11221_1,,,,,,,,,,
