Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695296336382,21/09/2023 11:38:56,1695299936382,1,21/09/2023 13:38:56,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695296338346,21/09/2023 11:38:58,1695299938346,1,21/09/2023 13:38:58,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,1,progress_screen,Screen 1,c3p92z,1,timedOut,,1992.0199999999998,1992.0199999999998,1992.0199999999998,1992.0199999999998,1992.0199999999998,1992.0199999999998,1,1992.0199999999998,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695296339346,21/09/2023 11:38:59,1695299939346,1,21/09/2023 13:38:59,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.8000000000002,1000,1000.8000000000002,1000.8000000000002,1000,1000.8000000000002,1,1000.8000000000002,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
4,1695296341346,21/09/2023 11:39:01,1695299941346,1,21/09/2023 13:39:01,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.8000000000002,2000,2000.8000000000002,2000.8000000000002,2000,2000.8000000000002,1,2000.8000000000002,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
5,1695296341846,21/09/2023 11:39:01,1695299941846,1,21/09/2023 13:39:01,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.8000000000002,499.9200000000001,500.8000000000002,500.8000000000002,499.9200000000001,500.8000000000002,1,500.8000000000002,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
6,1695296342847,21/09/2023 11:39:02,1695299942847,1,21/09/2023 13:39:02,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.8800000000001,1000,1000.8800000000001,1000.8800000000001,1000,1000.8800000000001,1,1000.8800000000001,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11121.jpg,,gestinct.JPG,,,11121_1,,,,,,,,,,
7,1695296343847,21/09/2023 11:39:03,1695299943847,1,21/09/2023 13:39:03,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.8800000000001,1000.0000000000009,1000.8800000000001,1000.8800000000001,1000.0000000000009,1000.8800000000001,1,1000.8800000000001,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11221.jpg,,berand.JPG,,,11221_2,,,,,,,,,,
8,1695296345846,21/09/2023 11:39:05,1695299945846,1,21/09/2023 13:39:05,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.8799999999992,2000,2000.8799999999992,2000.8799999999992,2000,2000.8799999999992,1,2000.8799999999992,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11221.jpg,,berand.JPG,,,11221_2,,,,,,,,,,
9,1695296346346,21/09/2023 11:39:06,1695299946346,1,21/09/2023 13:39:06,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.8799999999992,500,500.8799999999992,500.8799999999992,500,500.8799999999992,1,500.8799999999992,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11221.jpg,,berand.JPG,,,11221_2,,,,,,,,,,
10,1695296347345,21/09/2023 11:39:07,1695299947345,1,21/09/2023 13:39:07,131657,10,task-czzd,,31778253,BLIND,9398836,,complete,,650c38e2778f431ea1051dfd,computer,Desktop or Laptop,Windows 10,Firefox 117.0,1536x864,1536x739,,,0,bugs_2,14,24,consent,Spreadsheet24,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.8799999999992,999.9599999999991,1000.8799999999992,1000.8799999999992,999.9599999999991,1000.8799999999992,1,1000.8799999999992,0,0,,Time Limit,screen,0,screen,bug_images,7,13,11221.jpg,,berand.JPG,,,11221_2,,,,,,,,,,
