Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699210315215,05/11/2023 18:51:55,1699213915215,1,05/11/2023 20:51:55,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699210317103,05/11/2023 18:51:57,1699213917103,1,05/11/2023 20:51:57,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2001.536,2000.5159999999996,2001.536,2001.536,2000.5159999999996,2001.536,1,2001.536,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699210360853,05/11/2023 18:52:40,1699213960853,1,05/11/2023 20:52:40,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.8779998569516,1000.0090000000055,1000.8779998569516,1000.8779998569516,1000.0090000000055,1000.8779998569516,1,1000.8779998569516,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21211.jpg,,dering.JPG,,,21211_2,,,,,,,,,,
4,1699210362854,05/11/2023 18:52:42,1699213962854,1,05/11/2023 20:52:42,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.6689998092625,2000.041999999994,2000.6689998092625,2000.6689998092625,2000.041999999994,2000.6689998092625,1,2000.6689998092625,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21211.jpg,,dering.JPG,,,21211_2,,,,,,,,,,
5,1699210363352,05/11/2023 18:52:43,1699213963352,1,05/11/2023 20:52:43,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.5269999046359,499.9800000000032,500.5269999046359,500.5269999046359,499.9800000000032,500.5269999046359,1,500.5269999046359,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21211.jpg,,dering.JPG,,,21211_2,,,,,,,,,,
6,1699210364353,05/11/2023 18:52:44,1699213964353,1,05/11/2023 20:52:44,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.6469998092653,1000.0250000000015,1000.6469998092653,1000.6469998092653,1000.0250000000015,1000.6469998092653,1,1000.6469998092653,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21211.jpg,,dering.JPG,,,21211_2,,,,,,,,,,
7,1699210365352,05/11/2023 18:52:45,1699213965352,1,05/11/2023 20:52:45,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.6219998092638,999.9979999999996,1000.6219998092638,1000.6219998092638,999.9979999999996,1000.6219998092638,1,1000.6219998092638,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11121.jpg,,orgen.JPG,,,11121_1,,,,,,,,,,
8,1699210367352,05/11/2023 18:52:47,1699213967352,1,05/11/2023 20:52:47,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.5239999046316,1999.9379999999946,2000.5239999046316,2000.5239999046316,1999.9379999999946,2000.5239999046316,1,2000.5239999046316,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11121.jpg,,orgen.JPG,,,11121_1,,,,,,,,,,
9,1699210367852,05/11/2023 18:52:47,1699213967852,1,05/11/2023 20:52:47,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.585999904637,500.0280000000057,500.585999904637,500.585999904637,500.0280000000057,500.585999904637,1,500.585999904637,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11121.jpg,,orgen.JPG,,,11121_1,,,,,,,,,,
10,1699210368852,05/11/2023 18:52:48,1699213968852,1,05/11/2023 20:52:48,131657,10,task-di5e,,32721714,BLIND,9682897,,complete,,6547dfb83805aa62ee585447,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x768,,,0,bugs_2,14,10,consent,Spreadsheet10,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.6579998092639,1000.0099999999948,1000.6579998092639,1000.6579998092639,1000.0099999999948,1000.6579998092639,1,1000.6579998092639,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11121.jpg,,orgen.JPG,,,11121_1,,,,,,,,,,
