Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695296403986,21/09/2023 11:40:03,1695300003986,1,21/09/2023 13:40:03,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695296405958,21/09/2023 11:40:05,1695300005958,1,21/09/2023 13:40:05,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,1,progress_screen,Screen 1,c3p92z,1,timedOut,,1995.6509999999998,1994.1989999999996,1995.6509999999998,1995.6509999999998,1994.1989999999996,1995.6509999999998,1,1995.6509999999998,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695296406955,21/09/2023 11:40:06,1695300006955,1,21/09/2023 13:40:06,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,1,bug_images,Screen 1,4vghlo,1,timedOut,,998.0519999642374,997.163,998.0519999642374,998.0519999642374,997.163,998.0519999642374,1,998.0519999642374,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
4,1695296408948,21/09/2023 11:40:08,1695300008948,1,21/09/2023 13:40:08,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,1,bug_images,Screen 2,fzyf7b,2,timedOut,,1994.7890000000002,1994.2940000000003,1994.7890000000002,1994.7890000000002,1994.2940000000003,1994.7890000000002,1,1994.7890000000002,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
5,1695296409447,21/09/2023 11:40:09,1695300009447,1,21/09/2023 13:40:09,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,1,bug_images,Screen 3,o7ugiu,3,timedOut,,499.2949999523162,498.66200000000026,499.2949999523162,499.2949999523162,498.66200000000026,499.2949999523162,1,499.2949999523162,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
6,1695296410445,21/09/2023 11:40:10,1695300010445,1,21/09/2023 13:40:10,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,1,bug_images,Screen 4,3mgwer,4,timedOut,,998.2329999761578,997.2929999999997,998.2329999761578,998.2329999761578,997.2929999999997,998.2329999761578,1,998.2329999761578,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
7,1695296411442,21/09/2023 11:40:11,1695300011442,1,21/09/2023 13:40:11,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,2,bug_images,Screen 1,4vghlo,1,timedOut,,998.239999988079,997.2670000000007,998.239999988079,998.239999988079,997.2670000000007,998.239999988079,1,998.239999988079,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,angen.JPG,,,11111_2,,,,,,,,,,
8,1695296413437,21/09/2023 11:40:13,1695300013437,1,21/09/2023 13:40:13,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,2,bug_images,Screen 2,fzyf7b,2,timedOut,,1995.5729999523155,1994.7959999999985,1995.5729999523155,1995.5729999523155,1994.7959999999985,1995.5729999523155,1,1995.5729999523155,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,angen.JPG,,,11111_2,,,,,,,,,,
9,1695296413935,21/09/2023 11:40:13,1695300013935,1,21/09/2023 13:40:13,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,2,bug_images,Screen 3,o7ugiu,3,timedOut,,499.076999964238,498.46600000000035,499.076999964238,499.076999964238,498.46600000000035,499.076999964238,1,499.076999964238,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,angen.JPG,,,11111_2,,,,,,,,,,
10,1695296414933,21/09/2023 11:40:14,1695300014933,1,21/09/2023 13:40:14,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,2,bug_images,Screen 4,3mgwer,4,timedOut,,998.7109999880795,997.4700000000012,998.7109999880795,998.7109999880795,997.4700000000012,998.7109999880795,1,998.7109999880795,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,angen.JPG,,,11111_2,,,,,,,,,,
11,1695296415930,21/09/2023 11:40:15,1695300015930,1,21/09/2023 13:40:15,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,3,bug_images,Screen 1,4vghlo,1,timedOut,,997.9409999761574,997.253999999999,997.9409999761574,997.9409999761574,997.253999999999,997.9409999761574,1,997.9409999761574,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,angen.JPG,,,11111_2,,,,,,,,,,
12,1695296417924,21/09/2023 11:40:17,1695300017924,1,21/09/2023 13:40:17,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,3,bug_images,Screen 2,fzyf7b,2,timedOut,,1994.9869999880793,1994.3220000000001,1994.9869999880793,1994.9869999880793,1994.3220000000001,1994.9869999880793,1,1994.9869999880793,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,angen.JPG,,,11111_2,,,,,,,,,,
13,1695296418423,21/09/2023 11:40:18,1695300018423,1,21/09/2023 13:40:18,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,3,bug_images,Screen 3,o7ugiu,3,timedOut,,499.06499996423736,498.58699999999953,499.06499996423736,499.06499996423736,498.58699999999953,499.06499996423736,1,499.06499996423736,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,angen.JPG,,,11111_2,,,,,,,,,,
14,1695296419420,21/09/2023 11:40:19,1695300019420,1,21/09/2023 13:40:19,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,3,bug_images,Screen 4,3mgwer,4,timedOut,,998.2779999761588,997.5420000000013,998.2779999761588,998.2779999761588,997.5420000000013,998.2779999761588,1,998.2779999761588,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,angen.JPG,,,11111_2,,,,,,,,,,
15,1695296420418,21/09/2023 11:40:20,1695300020418,1,21/09/2023 13:40:20,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,4,bug_images,Screen 1,4vghlo,1,timedOut,,998.2359999761575,997.2199999999975,998.2359999761575,998.2359999761575,997.2199999999975,998.2359999761575,1,998.2359999761575,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21121.jpg,,wicher.JPG,,,21121_1,,,,,,,,,,
16,1695296422412,21/09/2023 11:40:22,1695300022412,1,21/09/2023 13:40:22,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,4,bug_images,Screen 2,fzyf7b,2,timedOut,,1995.51599997616,1994.6550000000025,1995.51599997616,1995.51599997616,1994.6550000000025,1995.51599997616,1,1995.51599997616,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21121.jpg,,wicher.JPG,,,21121_1,,,,,,,,,,
17,1695296422911,21/09/2023 11:40:22,1695300022911,1,21/09/2023 13:40:22,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,4,bug_images,Screen 3,o7ugiu,3,timedOut,,499.56099996423654,498.4529999999977,499.56099996423654,499.56099996423654,498.4529999999977,499.56099996423654,1,499.56099996423654,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21121.jpg,,wicher.JPG,,,21121_1,,,,,,,,,,
18,1695296423908,21/09/2023 11:40:23,1695300023908,1,21/09/2023 13:40:23,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,4,bug_images,Screen 4,3mgwer,4,timedOut,,998.4079999761598,997.3970000000008,998.4079999761598,998.4079999761598,997.3970000000008,998.4079999761598,1,998.4079999761598,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21121.jpg,,wicher.JPG,,,21121_1,,,,,,,,,,
19,1695296424905,21/09/2023 11:40:24,1695300024905,1,21/09/2023 13:40:24,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,5,bug_images,Screen 1,4vghlo,1,timedOut,,997.9109999523171,997.0470000000023,997.9109999523171,997.9109999523171,997.0470000000023,997.9109999523171,1,997.9109999523171,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
20,1695296426900,21/09/2023 11:40:26,1695300026900,1,21/09/2023 13:40:26,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,5,bug_images,Screen 2,fzyf7b,2,timedOut,,1995.5639999999985,1994.691999999999,1995.5639999999985,1995.5639999999985,1994.691999999999,1995.5639999999985,1,1995.5639999999985,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
21,1695296427399,21/09/2023 11:40:27,1695300027399,1,21/09/2023 13:40:27,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,5,bug_images,Screen 3,o7ugiu,3,timedOut,,499.57199998807846,498.7589999999982,499.57199998807846,499.57199998807846,498.7589999999982,499.57199998807846,1,499.57199998807846,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
22,1695296428396,21/09/2023 11:40:28,1695300028396,1,21/09/2023 13:40:28,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,5,bug_images,Screen 4,3mgwer,4,timedOut,,998.2129999642384,997.268,998.2129999642384,998.2129999642384,997.268,998.2129999642384,1,998.2129999642384,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
23,1695296429393,21/09/2023 11:40:29,1695300029393,1,21/09/2023 13:40:29,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,6,bug_images,Screen 1,4vghlo,1,timedOut,,998.1449999523174,997.268,998.1449999523174,998.1449999523174,997.268,998.1449999523174,1,998.1449999523174,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11221.jpg,,wicher.JPG,,,11221_1,,,,,,,,,,
24,1695296431388,21/09/2023 11:40:31,1695300031388,1,21/09/2023 13:40:31,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,6,bug_images,Screen 2,fzyf7b,2,timedOut,,1995.4769999761593,1994.4789999999994,1995.4769999761593,1995.4769999761593,1994.4789999999994,1995.4769999761593,1,1995.4769999761593,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11221.jpg,,wicher.JPG,,,11221_1,,,,,,,,,,
25,1695296431887,21/09/2023 11:40:31,1695300031887,1,21/09/2023 13:40:31,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,6,bug_images,Screen 3,o7ugiu,3,timedOut,,499.697999964239,498.6650000000009,499.697999964239,499.697999964239,498.6650000000009,499.697999964239,1,499.697999964239,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11221.jpg,,wicher.JPG,,,11221_1,,,,,,,,,,
26,1695296432884,21/09/2023 11:40:32,1695300032884,1,21/09/2023 13:40:32,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,6,bug_images,Screen 4,3mgwer,4,timedOut,,998.0329999642381,997.135000000002,998.0329999642381,998.0329999642381,997.135000000002,998.0329999642381,1,998.0329999642381,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11221.jpg,,wicher.JPG,,,11221_1,,,,,,,,,,
27,1695296433881,21/09/2023 11:40:33,1695300033881,1,21/09/2023 13:40:33,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,7,bug_images,Screen 1,4vghlo,1,timedOut,,998.0979999523151,997.1859999999979,998.0979999523151,998.0979999523151,997.1859999999979,998.0979999523151,1,998.0979999523151,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
28,1695296435875,21/09/2023 11:40:35,1695300035875,1,21/09/2023 13:40:35,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,7,bug_images,Screen 2,fzyf7b,2,timedOut,,1995.2119999642382,1994.637999999999,1995.2119999642382,1995.2119999642382,1994.637999999999,1995.2119999642382,1,1995.2119999642382,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
29,1695296436375,21/09/2023 11:40:36,1695300036375,1,21/09/2023 13:40:36,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,7,bug_images,Screen 3,o7ugiu,3,timedOut,,499.974000000002,498.9320000000007,499.974000000002,499.974000000002,498.9320000000007,499.974000000002,1,499.974000000002,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
30,1695296437372,21/09/2023 11:40:37,1695300037372,1,21/09/2023 13:40:37,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,7,bug_images,Screen 4,3mgwer,4,timedOut,,998.3419999523176,997.1860000000015,998.3419999523176,998.3419999523176,997.1860000000015,998.3419999523176,1,998.3419999523176,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,wicher.JPG,,,21221_1,,,,,,,,,,
31,1695296438369,21/09/2023 11:40:38,1695300038369,1,21/09/2023 13:40:38,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,8,bug_images,Screen 1,4vghlo,1,timedOut,,998.3559999999998,997.137999999999,998.3559999999998,998.3559999999998,997.137999999999,998.3559999999998,1,998.3559999999998,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,angen.JPG,,,21221_2,,,,,,,,,,
32,1695296440363,21/09/2023 11:40:40,1695300040363,1,21/09/2023 13:40:40,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,8,bug_images,Screen 2,fzyf7b,2,timedOut,,1995.617999976159,1994.4559999999983,1995.617999976159,1995.617999976159,1994.4559999999983,1995.617999976159,1,1995.617999976159,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,angen.JPG,,,21221_2,,,,,,,,,,
33,1695296440862,21/09/2023 11:40:40,1695300040862,1,21/09/2023 13:40:40,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,8,bug_images,Screen 3,o7ugiu,3,timedOut,,499.26200000000244,498.8199999999997,499.26200000000244,499.26200000000244,498.8199999999997,499.26200000000244,1,499.26200000000244,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,angen.JPG,,,21221_2,,,,,,,,,,
34,1695296441859,21/09/2023 11:40:41,1695300041859,1,21/09/2023 13:40:41,131657,10,task-djmc,,31778295,BLIND,9398848,,complete,,650c3948e869558484423a5f,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.31,1536x864,1528x724,,,0,bugs_2,14,43,consent,Spreadsheet43,8,bug_images,Screen 4,3mgwer,4,timedOut,,998.1419999880818,997.3029999999999,998.1419999880818,998.1419999880818,997.3029999999999,998.1419999880818,1,998.1419999880818,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,angen.JPG,,,21221_2,,,,,,,,,,
