Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209512451,05/11/2023 18:38:32,1699180712451,-8,05/11/2023 02:38:32,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209514437,05/11/2023 18:38:34,1699180714437,-8,05/11/2023 02:38:34,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.578000023842,2000.2210000000005,2002.578000023842,2002.578000023842,2000.2210000000005,2002.578000023842,1,2002.578000023842,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209515669,05/11/2023 18:38:35,1699180715669,-8,05/11/2023 02:38:35,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,1,bug_images,Screen 1,4vghlo,1,timedOut,,1001.5929999999998,1000.3800000000001,1001.5929999999998,1001.5929999999998,1000.3800000000001,1001.5929999999998,1,1001.5929999999998,0,0,,Time Limit,screen,0,screen,bug_images,4,7,11221.jpg,,rescher.JPG,,,11221_2,,,,,,,,,,
4,1699209517670,05/11/2023 18:38:37,1699180717670,-8,05/11/2023 02:38:37,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.5130000119207,2000.4539999999997,2001.5130000119207,2001.5130000119207,2000.4539999999997,2001.5130000119207,1,2001.5130000119207,0,0,,Time Limit,screen,0,screen,bug_images,4,7,11221.jpg,,rescher.JPG,,,11221_2,,,,,,,,,,
5,1699209518170,05/11/2023 18:38:38,1699180718170,-8,05/11/2023 02:38:38,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,1,bug_images,Screen 3,o7ugiu,3,timedOut,,501.259,499.96199999999953,501.259,501.259,499.96199999999953,501.259,1,501.259,0,0,,Time Limit,screen,0,screen,bug_images,4,7,11221.jpg,,rescher.JPG,,,11221_2,,,,,,,,,,
6,1699209519172,05/11/2023 18:38:39,1699180719172,-8,05/11/2023 02:38:39,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,1,bug_images,Screen 4,3mgwer,4,timedOut,,1002.9969999880796,1000.4080000000013,1002.9969999880796,1002.9969999880796,1000.4080000000013,1002.9969999880796,1,1002.9969999880796,0,0,,Time Limit,screen,0,screen,bug_images,4,7,11221.jpg,,rescher.JPG,,,11221_2,,,,,,,,,,
7,1699209520171,05/11/2023 18:38:40,1699180720171,-8,05/11/2023 02:38:40,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,2,bug_images,Screen 1,4vghlo,1,timedOut,,1001.5889999880783,1000.0209999999988,1001.5889999880783,1001.5889999880783,1000.0209999999988,1001.5889999880783,1,1001.5889999880783,0,0,,Time Limit,screen,0,screen,bug_images,4,7,21211.jpg,,rescher.JPG,,,21211_2,,,,,,,,,,
8,1699209522171,05/11/2023 18:38:42,1699180722171,-8,05/11/2023 02:38:42,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.6680000119213,2000.7340000000004,2001.6680000119213,2001.6680000119213,2000.7340000000004,2001.6680000119213,1,2001.6680000119213,0,0,,Time Limit,screen,0,screen,bug_images,4,7,21211.jpg,,rescher.JPG,,,21211_2,,,,,,,,,,
9,1699209522671,05/11/2023 18:38:42,1699180722671,-8,05/11/2023 02:38:42,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.634,500.1170000000002,501.634,501.634,500.1170000000002,501.634,1,501.634,0,0,,Time Limit,screen,0,screen,bug_images,4,7,21211.jpg,,rescher.JPG,,,21211_2,,,,,,,,,,
10,1699209523672,05/11/2023 18:38:43,1699180723672,-8,05/11/2023 02:38:43,131657,10,task-erq7,,32721723,BLIND,9682891,,complete,,6547dfa640e9a2bb5fbd0054,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x864,,,0,bugs_2,14,23,consent,Spreadsheet23,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.916999976158,1000.125,1001.916999976158,1001.916999976158,1000.125,1001.916999976158,1,1001.916999976158,0,0,,Time Limit,screen,0,screen,bug_images,4,7,21211.jpg,,rescher.JPG,,,21211_2,,,,,,,,,,
