Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209406265,05/11/2023 18:36:46,1699187806265,-6,05/11/2023 06:36:46,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209408225,05/11/2023 18:36:48,1699187808225,-6,05/11/2023 06:36:48,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2003.0410000000002,2000.7849999999999,2003.0410000000002,2003.0410000000002,2000.7849999999999,2003.0410000000002,1,2003.0410000000002,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209409225,05/11/2023 18:36:49,1699187809225,-6,05/11/2023 06:36:49,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,1,bug_images,Screen 1,4vghlo,1,timedOut,,1002.9560000011179,1000.4310000000005,1002.9560000011179,1002.9560000011179,1000.4310000000005,1002.9560000011179,1,1002.9560000011179,0,0,,Time Limit,screen,0,screen,bug_images,6,11,11211.jpg,,gestinct.JPG,,,11211_1,,,,,,,,,,
4,1699209411224,05/11/2023 18:36:51,1699187811224,-6,05/11/2023 06:36:51,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.9249999996273,2000.6930000000002,2001.9249999996273,2001.9249999996273,2000.6930000000002,2001.9249999996273,1,2001.9249999996273,0,0,,Time Limit,screen,0,screen,bug_images,6,11,11211.jpg,,gestinct.JPG,,,11211_1,,,,,,,,,,
5,1699209411570,05/11/2023 18:36:51,1699187811570,-6,05/11/2023 06:36:51,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,1,bug_images,Screen 3,o7ugiu,3,timedOut,,346.93200000074467,333.4400000000005,346.93200000074467,346.93200000074467,333.4400000000005,346.93200000074467,1,346.93200000074467,0,0,,Time Limit,screen,0,screen,bug_images,6,11,11211.jpg,,gestinct.JPG,,,11211_1,,,,,,,,,,
6,1699209412559,05/11/2023 18:36:52,1699187812559,-6,05/11/2023 06:36:52,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,1,bug_images,Screen 4,3mgwer,4,timedOut,,1001.8920000011167,1000.5149999999994,1001.8920000011167,1001.8920000011167,1000.5149999999994,1001.8920000011167,1,1001.8920000011167,0,0,,Time Limit,screen,0,screen,bug_images,6,11,11211.jpg,,gestinct.JPG,,,11211_1,,,,,,,,,,
7,1699209413559,05/11/2023 18:36:53,1699187813559,-6,05/11/2023 06:36:53,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,2,bug_images,Screen 1,4vghlo,1,timedOut,,1001.7769999996272,1000.3389999999999,1001.7769999996272,1001.7769999996272,1000.3389999999999,1001.7769999996272,1,1001.7769999996272,0,0,,Time Limit,screen,0,screen,bug_images,6,11,21121.jpg,,gestinct.JPG,,,21121_1,,,,,,,,,,
8,1699209415559,05/11/2023 18:36:55,1699187815559,-6,05/11/2023 06:36:55,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.9379999996272,2000.6949999999997,2001.9379999996272,2001.9379999996272,2000.6949999999997,2001.9379999996272,1,2001.9379999996272,0,0,,Time Limit,screen,0,screen,bug_images,6,11,21121.jpg,,gestinct.JPG,,,21121_1,,,,,,,,,,
9,1699209416060,05/11/2023 18:36:56,1699187816060,-6,05/11/2023 06:36:56,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.64300000000003,500.28499999999985,501.64300000000003,501.64300000000003,500.28499999999985,501.64300000000003,1,501.64300000000003,0,0,,Time Limit,screen,0,screen,bug_images,6,11,21121.jpg,,gestinct.JPG,,,21121_1,,,,,,,,,,
10,1699209417060,05/11/2023 18:36:57,1699187817060,-6,05/11/2023 06:36:57,131657,10,task-fdgr,,32721710,BLIND,9682901,,complete,,6547dfbaadd88bc5360507f8,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1187x667,1187x667,,,0,bugs_2,14,18,consent,Spreadsheet18,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.6580000007452,1000.3590000000004,1001.6580000007452,1001.6580000007452,1000.3590000000004,1001.6580000007452,1,1001.6580000007452,0,0,,Time Limit,screen,0,screen,bug_images,6,11,21121.jpg,,gestinct.JPG,,,21121_1,,,,,,,,,,
