Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695300885004,21/09/2023 12:54:45,1695304485004,1,21/09/2023 14:54:45,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695300886955,21/09/2023 12:54:46,1695304486955,1,21/09/2023 14:54:46,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2000.6229999977647,1999.751,2000.6229999977647,2000.6229999977647,1999.751,2000.6229999977647,1,2000.6229999977647,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695300887954,21/09/2023 12:54:47,1695304487954,1,21/09/2023 14:54:47,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.572000000745,999.7799999999997,1000.572000000745,1000.572000000745,999.7799999999997,1000.572000000745,1,1000.572000000745,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11211.jpg,,orgen.JPG,,,11211_1,,,,,,,,,,
4,1695300889954,21/09/2023 12:54:49,1695304489954,1,21/09/2023 14:54:49,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.7920000007452,2000.2179999999998,2000.7920000007452,2000.7920000007452,2000.2179999999998,2000.7920000007452,1,2000.7920000007452,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11211.jpg,,orgen.JPG,,,11211_1,,,,,,,,,,
5,1695300890453,21/09/2023 12:54:50,1695304490453,1,21/09/2023 14:54:50,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.0740000007454,499.5470000000005,500.0740000007454,500.0740000007454,499.5470000000005,500.0740000007454,1,500.0740000007454,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11211.jpg,,orgen.JPG,,,11211_1,,,,,,,,,,
6,1695300891455,21/09/2023 12:54:51,1695304491455,1,21/09/2023 14:54:51,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,1,bug_images,Screen 4,3mgwer,4,timedOut,,1001.7269999999999,999.8850000000002,1001.7269999999999,1001.7269999999999,999.8850000000002,1001.7269999999999,1,1001.7269999999999,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11211.jpg,,orgen.JPG,,,11211_1,,,,,,,,,,
7,1695300892453,21/09/2023 12:54:52,1695304492453,1,21/09/2023 14:54:52,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.7419999985095,1000.192,1000.7419999985095,1000.7419999985095,1000.192,1000.7419999985095,1,1000.7419999985095,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,dering.JPG,,,11111_2,,,,,,,,,,
8,1695300894453,21/09/2023 12:54:54,1695304494453,1,21/09/2023 14:54:54,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.4500000007447,1999.9009999999998,2000.4500000007447,2000.4500000007447,1999.9009999999998,2000.4500000007447,1,2000.4500000007447,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,dering.JPG,,,11111_2,,,,,,,,,,
9,1695300894953,21/09/2023 12:54:54,1695304494953,1,21/09/2023 14:54:54,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,2,bug_images,Screen 3,o7ugiu,3,timedOut,,499.94899999925474,499.34799999999996,499.94899999925474,499.94899999925474,499.34799999999996,499.94899999925474,1,499.94899999925474,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,dering.JPG,,,11111_2,,,,,,,,,,
10,1695300895953,21/09/2023 12:54:55,1695304495953,1,21/09/2023 14:54:55,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.0009999977647,999.7999999999993,1001.0009999977647,1001.0009999977647,999.7999999999993,1001.0009999977647,1,1001.0009999977647,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,dering.JPG,,,11111_2,,,,,,,,,,
11,1695300896954,21/09/2023 12:54:56,1695304496954,1,21/09/2023 14:54:56,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,3,bug_images,Screen 1,4vghlo,1,timedOut,,1002.1010000000006,999.9230000000007,1002.1010000000006,1002.1010000000006,999.9230000000007,1002.1010000000006,1,1002.1010000000006,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
12,1695300898953,21/09/2023 12:54:58,1695304498953,1,21/09/2023 14:54:58,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,3,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.7779999977647,2000.2579999999998,2000.7779999977647,2000.7779999977647,2000.2579999999998,2000.7779999977647,1,2000.7779999977647,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
13,1695300899452,21/09/2023 12:54:59,1695304499452,1,21/09/2023 14:54:59,131657,10,task-hdk3,,31779945,BLIND,9399464,,complete,,650c48ec72d32e1247398167,computer,Desktop or Laptop,Windows 10,AVG Secure Browser 116.0.0.0,1536x864,2048x953,,,0,bugs_2,14,22,consent,Spreadsheet22,3,bug_images,Screen 3,o7ugiu,3,timedOut,,500.22000000074513,499.76300000000083,500.22000000074513,500.22000000074513,499.76300000000083,500.22000000074513,1,500.22000000074513,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
