Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209381359,05/11/2023 18:36:21,1699209381359,0,05/11/2023 18:36:21,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209383337,05/11/2023 18:36:23,1699209383337,0,05/11/2023 18:36:23,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.2,2001.68,2002.2,2002.2,2001.68,2002.2,1,2002.2,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209384339,05/11/2023 18:36:24,1699209384339,0,05/11/2023 18:36:24,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,1,bug_images,Screen 1,4vghlo,1,timedOut,,1001.6200000238418,1000.9050000000002,1001.6200000238418,1001.6200000238418,1000.9050000000002,1001.6200000238418,1,1001.6200000238418,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21221.jpg,,unters.JPG,,,21221_1,,,,,,,,,,
4,1699209386341,05/11/2023 18:36:26,1699209386341,0,05/11/2023 18:36:26,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2002.7150000238416,2002.0879999999997,2002.7150000238416,2002.7150000238416,2002.0879999999997,2002.7150000238416,1,2002.7150000238416,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21221.jpg,,unters.JPG,,,21221_1,,,,,,,,,,
5,1699209386841,05/11/2023 18:36:26,1699209386841,0,05/11/2023 18:36:26,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,1,bug_images,Screen 3,o7ugiu,3,timedOut,,501.1270000238419,500.3720000000003,501.1270000238419,501.1270000238419,500.3720000000003,501.1270000238419,1,501.1270000238419,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21221.jpg,,unters.JPG,,,21221_1,,,,,,,,,,
6,1699209387841,05/11/2023 18:36:27,1699209387841,0,05/11/2023 18:36:27,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.8549999880788,1000.3159999999998,1000.8549999880788,1000.8549999880788,1000.3159999999998,1000.8549999880788,1,1000.8549999880788,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21221.jpg,,unters.JPG,,,21221_1,,,,,,,,,,
7,1699209388842,05/11/2023 18:36:28,1699209388842,0,05/11/2023 18:36:28,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,2,bug_images,Screen 1,4vghlo,1,timedOut,,1001.538999988079,1000.8279999999995,1001.538999988079,1001.538999988079,1000.8279999999995,1001.538999988079,1,1001.538999988079,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,unters.JPG,,,21211_1,,,,,,,,,,
8,1699209390844,05/11/2023 18:36:30,1699209390844,0,05/11/2023 18:36:30,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2002.4109999761586,2001.6360000000004,2002.4109999761586,2002.4109999761586,2001.6360000000004,2002.4109999761586,1,2002.4109999761586,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,unters.JPG,,,21211_1,,,,,,,,,,
9,1699209391345,05/11/2023 18:36:31,1699209391345,0,05/11/2023 18:36:31,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.57499998807907,500.8670000000002,501.57499998807907,501.57499998807907,500.8670000000002,501.57499998807907,1,501.57499998807907,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,unters.JPG,,,21211_1,,,,,,,,,,
10,1699209392346,05/11/2023 18:36:32,1699209392346,0,05/11/2023 18:36:32,131657,10,task-hh1s,,32721709,BLIND,9682886,,complete,,6547df98f19087618a1f2ff3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1200,1536x960,,,0,bugs_2,14,41,consent,Spreadsheet41,2,bug_images,Screen 4,3mgwer,4,timedOut,,1002.5079999999998,1000.5570000000007,1002.5079999999998,1002.5079999999998,1000.5570000000007,1002.5079999999998,1,1002.5079999999998,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,unters.JPG,,,21211_1,,,,,,,,,,
