Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209257392,05/11/2023 18:34:17,1699209257392,0,05/11/2023 18:34:17,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209259351,05/11/2023 18:34:19,1699209259351,0,05/11/2023 18:34:19,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2004.93699999851,2000.0400000000002,2004.93699999851,2004.93699999851,2000.0400000000002,2004.93699999851,1,2004.93699999851,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209260350,05/11/2023 18:34:20,1699209260350,0,05/11/2023 18:34:20,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,1,bug_images,Screen 1,4vghlo,1,timedOut,,1004.6970000029801,1000.02,1004.6970000029801,1004.6970000029801,1000.02,1004.6970000029801,1,1004.6970000029801,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21221.jpg,,stanis.JPG,,,21221_2,,,,,,,,,,
4,1699209262350,05/11/2023 18:34:22,1699209262350,0,05/11/2023 18:34:22,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2004.7769999970196,2000.04,2004.7769999970196,2004.7769999970196,2000.04,2004.7769999970196,1,2004.7769999970196,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21221.jpg,,stanis.JPG,,,21221_2,,,,,,,,,,
5,1699209262850,05/11/2023 18:34:22,1699209262850,0,05/11/2023 18:34:22,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,1,bug_images,Screen 3,o7ugiu,3,timedOut,,504.9369999999999,500.0100000000002,504.9369999999999,504.9369999999999,500.0100000000002,504.9369999999999,1,504.9369999999999,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21221.jpg,,stanis.JPG,,,21221_2,,,,,,,,,,
6,1699209263851,05/11/2023 18:34:23,1699209263851,0,05/11/2023 18:34:23,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,1,bug_images,Screen 4,3mgwer,4,timedOut,,1005.2269999970194,1000.0200000000004,1005.2269999970194,1005.2269999970194,1000.0200000000004,1005.2269999970194,1,1005.2269999970194,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21221.jpg,,stanis.JPG,,,21221_2,,,,,,,,,,
7,1699209264850,05/11/2023 18:34:24,1699209264850,0,05/11/2023 18:34:24,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,2,bug_images,Screen 1,4vghlo,1,timedOut,,1005.0070000014894,1000.0199999999986,1005.0070000014894,1005.0070000014894,1000.0199999999986,1005.0070000014894,1,1005.0070000014894,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21221.jpg,,stanis.JPG,,,21221_2,,,,,,,,,,
8,1699209266850,05/11/2023 18:34:26,1699209266850,0,05/11/2023 18:34:26,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2004.7869999985105,2000.559000000001,2004.7869999985105,2004.7869999985105,2000.559000000001,2004.7869999985105,1,2004.7869999985105,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21221.jpg,,stanis.JPG,,,21221_2,,,,,,,,,,
9,1699209267350,05/11/2023 18:34:27,1699209267350,0,05/11/2023 18:34:27,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,2,bug_images,Screen 3,o7ugiu,3,timedOut,,504.1279999970193,500.0100000000002,504.1279999970193,504.1279999970193,500.0100000000002,504.1279999970193,1,504.1279999970193,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21221.jpg,,stanis.JPG,,,21221_2,,,,,,,,,,
10,1699209268349,05/11/2023 18:34:28,1699209268349,0,05/11/2023 18:34:28,131657,10,task-hwbs,,32721688,BLIND,9682895,,complete,,6547dfba12d4702680d55d8e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x814,,,0,bugs_2,14,3,consent,Spreadsheet3,2,bug_images,Screen 4,3mgwer,4,timedOut,,1002.4180000014894,1000.0199999999986,1002.4180000014894,1002.4180000014894,1000.0199999999986,1002.4180000014894,1,1002.4180000014894,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21221.jpg,,stanis.JPG,,,21221_2,,,,,,,,,,
