Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695296026709,21/09/2023 11:33:46,1695299626709,1,21/09/2023 13:33:46,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695296028678,21/09/2023 11:33:48,1695299628678,1,21/09/2023 13:33:48,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2000.9260000715256,1999.9199999999998,2000.9260000715256,2000.9260000715256,1999.9199999999998,2000.9260000715256,1,2000.9260000715256,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695296029681,21/09/2023 11:33:49,1695299629681,1,21/09/2023 13:33:49,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,1,bug_images,Screen 1,4vghlo,1,timedOut,,1004.2060000000001,999.96,1004.2060000000001,1004.2060000000001,999.96,1004.2060000000001,1,1004.2060000000001,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,pronist.JPG,,,21211_2,,,,,,,,,,
4,1695296031681,21/09/2023 11:33:51,1695299631681,1,21/09/2023 13:33:51,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2003.5460000715257,1999.92,2003.5460000715257,2003.5460000715257,1999.92,2003.5460000715257,1,2003.5460000715257,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,pronist.JPG,,,21211_2,,,,,,,,,,
5,1695296032181,21/09/2023 11:33:52,1695299632181,1,21/09/2023 13:33:52,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,1,bug_images,Screen 3,o7ugiu,3,timedOut,,504.22600009536745,499.9800000000005,504.22600009536745,504.22600009536745,499.9800000000005,504.22600009536745,1,504.22600009536745,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,pronist.JPG,,,21211_2,,,,,,,,,,
6,1695296033181,21/09/2023 11:33:53,1695299633181,1,21/09/2023 13:33:53,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,1,bug_images,Screen 4,3mgwer,4,timedOut,,1004.3459999999995,999.9599999999991,1004.3459999999995,1004.3459999999995,999.9599999999991,1004.3459999999995,1,1004.3459999999995,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,pronist.JPG,,,21211_2,,,,,,,,,,
7,1695296034181,21/09/2023 11:33:54,1695299634181,1,21/09/2023 13:33:54,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,2,bug_images,Screen 1,4vghlo,1,timedOut,,1003.9860000238423,999.960000000001,1003.9860000238423,1003.9860000238423,999.960000000001,1003.9860000238423,1,1003.9860000238423,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,conter.JPG,,,21211_1,,,,,,,,,,
8,1695296036181,21/09/2023 11:33:56,1695299636181,1,21/09/2023 13:33:56,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2004.0260000238413,1999.92,2004.0260000238413,2004.0260000238413,1999.92,2004.0260000238413,1,2004.0260000238413,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,conter.JPG,,,21211_1,,,,,,,,,,
9,1695296036672,21/09/2023 11:33:56,1695299636672,1,21/09/2023 13:33:56,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,2,bug_images,Screen 3,o7ugiu,3,timedOut,,495.60600002384126,492.0100000000002,495.60600002384126,495.60600002384126,492.0100000000002,495.60600002384126,1,495.60600002384126,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,conter.JPG,,,21211_1,,,,,,,,,,
10,1695296037673,21/09/2023 11:33:57,1695299637673,1,21/09/2023 13:33:57,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,2,bug_images,Screen 4,3mgwer,4,timedOut,,1003.7960000715248,999.9599999999991,1003.7960000715248,1003.7960000715248,999.9599999999991,1003.7960000715248,1,1003.7960000715248,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21211.jpg,,conter.JPG,,,21211_1,,,,,,,,,,
11,1695296038673,21/09/2023 11:33:58,1695299638673,1,21/09/2023 13:33:58,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,3,bug_images,Screen 1,4vghlo,1,timedOut,,1004.5360000000001,999.960000000001,1004.5360000000001,1004.5360000000001,999.960000000001,1004.5360000000001,1,1004.5360000000001,0,0,,Time Limit,screen,0,screen,bug_images,9,17,11121.jpg,,pronist.JPG,,,11121_2,,,,,,,,,,
12,1695296040673,21/09/2023 11:34:00,1695299640673,1,21/09/2023 13:34:00,131657,10,task-iyme,,31778142,BLIND,9398806,,complete,,650c37d2df19efff71fff75b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1438x695,,,0,bugs_2,14,38,consent,Spreadsheet38,3,bug_images,Screen 2,fzyf7b,2,timedOut,,2004.3760000715247,1999.9199999999983,2004.3760000715247,2004.3760000715247,1999.9199999999983,2004.3760000715247,1,2004.3760000715247,0,0,,Time Limit,screen,0,screen,bug_images,9,17,11121.jpg,,pronist.JPG,,,11121_2,,,,,,,,,,
