Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695296333037,21/09/2023 11:38:53,1695299933037,1,21/09/2023 13:38:53,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695296335019,21/09/2023 11:38:55,1695299935019,1,21/09/2023 13:38:55,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2001.7739999642372,1999.592,2001.7739999642372,2001.7739999642372,1999.592,2001.7739999642372,1,2001.7739999642372,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695296336018,21/09/2023 11:38:56,1695299936018,1,21/09/2023 13:38:56,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,1,bug_images,Screen 1,4vghlo,1,timedOut,,1001.481999976158,1000.165,1001.481999976158,1001.481999976158,1000.165,1001.481999976158,1,1001.481999976158,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21111.jpg,,unters.JPG,,,21111_1,,,,,,,,,,
4,1695296338018,21/09/2023 11:38:58,1695299938018,1,21/09/2023 13:38:58,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.316999976158,1999.8309999999997,2001.316999976158,2001.316999976158,1999.8309999999997,2001.316999976158,1,2001.316999976158,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21111.jpg,,unters.JPG,,,21111_1,,,,,,,,,,
5,1695296338519,21/09/2023 11:38:58,1695299938519,1,21/09/2023 13:38:58,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,1,bug_images,Screen 3,o7ugiu,3,timedOut,,502.38600001192117,500.10199999999986,502.38600001192117,502.38600001192117,500.10199999999986,502.38600001192117,1,502.38600001192117,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21111.jpg,,unters.JPG,,,21111_1,,,,,,,,,,
6,1695296339519,21/09/2023 11:38:59,1695299939519,1,21/09/2023 13:38:59,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,1,bug_images,Screen 4,3mgwer,4,timedOut,,1002.1839999880794,1000.6810000000005,1002.1839999880794,1002.1839999880794,1000.6810000000005,1002.1839999880794,1,1002.1839999880794,0,0,,Time Limit,screen,0,screen,bug_images,2,3,21111.jpg,,unters.JPG,,,21111_1,,,,,,,,,,
7,1695296340518,21/09/2023 11:39:00,1695299940518,1,21/09/2023 13:39:00,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.702999976158,999.2119999999995,1000.702999976158,1000.702999976158,999.2119999999995,1000.702999976158,1,1000.702999976158,0,0,,Time Limit,screen,0,screen,bug_images,2,3,11211.jpg,,rescher.JPG,,,11211_2,,,,,,,,,,
8,1695296342518,21/09/2023 11:39:02,1695299942518,1,21/09/2023 13:39:02,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.1909999642376,2000.0069999999996,2001.1909999642376,2001.1909999642376,2000.0069999999996,2001.1909999642376,1,2001.1909999642376,0,0,,Time Limit,screen,0,screen,bug_images,2,3,11211.jpg,,rescher.JPG,,,11211_2,,,,,,,,,,
9,1695296343018,21/09/2023 11:39:03,1695299943018,1,21/09/2023 13:39:03,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.58400000000074,499.9880000000012,501.58400000000074,501.58400000000074,499.9880000000012,501.58400000000074,1,501.58400000000074,0,0,,Time Limit,screen,0,screen,bug_images,2,3,11211.jpg,,rescher.JPG,,,11211_2,,,,,,,,,,
10,1695296344018,21/09/2023 11:39:04,1695299944018,1,21/09/2023 13:39:04,131657,10,task-lh3r,,31778252,BLIND,9398835,,complete,,650c38daaa98f7b32c4d70a8,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x963,,,0,bugs_2,14,29,consent,Spreadsheets29,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.2959999880786,1000.0739999999987,1001.2959999880786,1001.2959999880786,1000.0739999999987,1001.2959999880786,1,1001.2959999880786,0,0,,Time Limit,screen,0,screen,bug_images,2,3,11211.jpg,,rescher.JPG,,,11211_2,,,,,,,,,,
