Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209279010,05/11/2023 18:34:39,1699209279010,0,05/11/2023 18:34:39,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209280998,05/11/2023 18:34:40,1699209280998,0,05/11/2023 18:34:40,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.28,2001.9999999999998,2002.28,2002.28,2001.9999999999998,2002.28,1,2002.28,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209282001,05/11/2023 18:34:42,1699209282001,0,05/11/2023 18:34:42,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,1,bug_images,Screen 1,4vghlo,1,timedOut,,1002.2800000000002,1001.0000000000005,1002.2800000000002,1002.2800000000002,1001.0000000000005,1002.2800000000002,1,1002.2800000000002,0,0,,Time Limit,screen,0,screen,bug_images,8,15,21211.jpg,,wicher.JPG,,,21211_1,,,,,,,,,,
4,1699209284002,05/11/2023 18:34:44,1699209284002,0,05/11/2023 18:34:44,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2002.2799999999997,2002,2002.2799999999997,2002.2799999999997,2002,2002.2799999999997,1,2002.2799999999997,0,0,,Time Limit,screen,0,screen,bug_images,8,15,21211.jpg,,wicher.JPG,,,21211_1,,,,,,,,,,
5,1699209284503,05/11/2023 18:34:44,1699209284503,0,05/11/2023 18:34:44,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,1,bug_images,Screen 3,o7ugiu,3,timedOut,,501.27999999999975,500.5,501.27999999999975,501.27999999999975,500.5,501.27999999999975,1,501.27999999999975,0,0,,Time Limit,screen,0,screen,bug_images,8,15,21211.jpg,,wicher.JPG,,,21211_1,,,,,,,,,,
6,1699209285504,05/11/2023 18:34:45,1699209285504,0,05/11/2023 18:34:45,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,1,bug_images,Screen 4,3mgwer,4,timedOut,,1001.7799999999997,1001,1001.7799999999997,1001.7799999999997,1001,1001.7799999999997,1,1001.7799999999997,0,0,,Time Limit,screen,0,screen,bug_images,8,15,21211.jpg,,wicher.JPG,,,21211_1,,,,,,,,,,
7,1699209286505,05/11/2023 18:34:46,1699209286505,0,05/11/2023 18:34:46,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,2,bug_images,Screen 1,4vghlo,1,timedOut,,1002.7799999999997,1000.9999999999991,1002.7799999999997,1002.7799999999997,1000.9999999999991,1002.7799999999997,1,1002.7799999999997,0,0,,Time Limit,screen,0,screen,bug_images,8,15,11121.jpg,,angen.JPG,,,11121_2,,,,,,,,,,
8,1699209288507,05/11/2023 18:34:48,1699209288507,0,05/11/2023 18:34:48,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2002.7800000000007,2002,2002.7800000000007,2002.7800000000007,2002,2002.7800000000007,1,2002.7800000000007,0,0,,Time Limit,screen,0,screen,bug_images,8,15,11121.jpg,,angen.JPG,,,11121_2,,,,,,,,,,
9,1699209289007,05/11/2023 18:34:49,1699209289007,0,05/11/2023 18:34:49,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.78000000000065,500.5,500.78000000000065,500.78000000000065,500.5,500.78000000000065,1,500.78000000000065,0,0,,Time Limit,screen,0,screen,bug_images,8,15,11121.jpg,,angen.JPG,,,11121_2,,,,,,,,,,
10,1699209290008,05/11/2023 18:34:50,1699209290008,0,05/11/2023 18:34:50,131657,10,task-m3au,,32721691,BLIND,9682896,,complete,,6547dfbc0e866aeb16d6672a,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1908x921,,,0,bugs_2,14,37,consent,Spreadsheet37,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.2800000000007,1000.9800000000014,1001.2800000000007,1001.2800000000007,1000.9800000000014,1001.2800000000007,1,1001.2800000000007,0,0,,Time Limit,screen,0,screen,bug_images,8,15,11121.jpg,,angen.JPG,,,11121_2,,,,,,,,,,
