Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209266574,05/11/2023 18:34:26,1699209266574,0,05/11/2023 18:34:26,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209268549,05/11/2023 18:34:28,1699209268549,0,05/11/2023 18:34:28,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2001.1959997138977,1999.195,2001.1959997138977,2001.1959997138977,1999.195,2001.1959997138977,1,2001.1959997138977,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209269547,05/11/2023 18:34:29,1699209269547,0,05/11/2023 18:34:29,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.201,999.6610000000001,1000.201,1000.201,999.6610000000001,1000.201,1,1000.201,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,hally.JPG,,,11211_1,,,,,,,,,,
4,1699209271546,05/11/2023 18:34:31,1699209271546,0,05/11/2023 18:34:31,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,1,bug_images,Screen 2,fzyf7b,2,timedOut,,1999.8399997138977,1999.3220000000001,1999.8399997138977,1999.8399997138977,1999.3220000000001,1999.8399997138977,1,1999.8399997138977,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,hally.JPG,,,11211_1,,,,,,,,,,
5,1699209272046,05/11/2023 18:34:32,1699209272046,0,05/11/2023 18:34:32,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.3179999046324,499.79699999999957,500.3179999046324,500.3179999046324,499.79699999999957,500.3179999046324,1,500.3179999046324,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,hally.JPG,,,11211_1,,,,,,,,,,
6,1699209273045,05/11/2023 18:34:33,1699209273045,0,05/11/2023 18:34:33,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.220999713898,999.6880000000001,1000.220999713898,1000.220999713898,999.6880000000001,1000.220999713898,1,1000.220999713898,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,hally.JPG,,,11211_1,,,,,,,,,,
7,1699209274045,05/11/2023 18:34:34,1699209274045,0,05/11/2023 18:34:34,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.1329996185304,999.6190000000006,1000.1329996185304,1000.1329996185304,999.6190000000006,1000.1329996185304,1,1000.1329996185304,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21111.jpg,,hally.JPG,,,21111_1,,,,,,,,,,
8,1699209276045,05/11/2023 18:34:36,1699209276045,0,05/11/2023 18:34:36,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.3139998092647,1999.223,2000.3139998092647,2000.3139998092647,1999.223,2000.3139998092647,1,2000.3139998092647,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21111.jpg,,hally.JPG,,,21111_1,,,,,,,,,,
9,1699209276544,05/11/2023 18:34:36,1699209276544,0,05/11/2023 18:34:36,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.3909999999996,499.90899999999965,500.3909999999996,500.3909999999996,499.90899999999965,500.3909999999996,1,500.3909999999996,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21111.jpg,,hally.JPG,,,21111_1,,,,,,,,,,
10,1699209277544,05/11/2023 18:34:37,1699209277544,0,05/11/2023 18:34:37,131657,10,task-m8ak,,32721689,BLIND,9682900,,complete,,6547dfa5e221b5d43281c119,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1536x864,1536x747,,,0,bugs_2,14,39,consent,Spreadsheet39,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.1819998092651,999.6700000000001,1000.1819998092651,1000.1819998092651,999.6700000000001,1000.1819998092651,1,1000.1819998092651,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21111.jpg,,hally.JPG,,,21111_1,,,,,,,,,,
