Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695296469810,21/09/2023 11:41:09,1695300069810,1,21/09/2023 13:41:09,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695296471784,21/09/2023 11:41:11,1695300071784,1,21/09/2023 13:41:11,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.7199999985098,2002.001,2002.7199999985098,2002.7199999985098,2002.001,2002.7199999985098,1,2002.7199999985098,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695296472785,21/09/2023 11:41:12,1695300072785,1,21/09/2023 13:41:12,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,1,bug_images,Screen 1,4vghlo,1,timedOut,,1001.5189999992549,1000.9959999999996,1001.5189999992549,1001.5189999992549,1000.9959999999996,1001.5189999992549,1,1001.5189999992549,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
4,1695296474787,21/09/2023 11:41:14,1695300074787,1,21/09/2023 13:41:14,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2002.4229999977651,2001.9540000000006,2002.4229999977651,2002.4229999977651,2001.9540000000006,2002.4229999977651,1,2002.4229999977651,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
5,1695296475287,21/09/2023 11:41:15,1695300075287,1,21/09/2023 13:41:15,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,1,bug_images,Screen 3,o7ugiu,3,timedOut,,501.16899999701945,500.5,501.16899999701945,501.16899999701945,500.5,501.16899999701945,1,501.16899999701945,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
6,1695296476288,21/09/2023 11:41:16,1695300076288,1,21/09/2023 13:41:16,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,1,bug_images,Screen 4,3mgwer,4,timedOut,,1001.4689999977645,1001.018,1001.4689999977645,1001.4689999977645,1001.018,1001.4689999977645,1,1001.4689999977645,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
7,1695296477289,21/09/2023 11:41:17,1695300077289,1,21/09/2023 13:41:17,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,2,bug_images,Screen 1,4vghlo,1,timedOut,,1001.4509999977645,1000.9499999999998,1001.4509999977645,1001.4509999977645,1000.9499999999998,1001.4509999977645,1,1001.4509999977645,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
8,1695296479291,21/09/2023 11:41:19,1695300079291,1,21/09/2023 13:41:19,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2002.5009999977647,2002.0550000000003,2002.5009999977647,2002.5009999977647,2002.0550000000003,2002.5009999977647,1,2002.5009999977647,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
9,1695296479792,21/09/2023 11:41:19,1695300079792,1,21/09/2023 13:41:19,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.84599999999955,500.3239999999987,500.84599999999955,500.84599999999955,500.3239999999987,500.84599999999955,1,500.84599999999955,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
10,1695296480793,21/09/2023 11:41:20,1695300080793,1,21/09/2023 13:41:20,131657,10,task-macm,,31778311,BLIND,9398843,,complete,,650c39244462adb328fff76a,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1920x1080,1920x1080,,,0,bugs_2,14,9,consent,Spreadsheet9,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.7219999992558,1001.0260000000017,1001.7219999992558,1001.7219999992558,1001.0260000000017,1001.7219999992558,1,1001.7219999992558,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
