Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209291424,05/11/2023 18:34:51,1699209291424,0,05/11/2023 18:34:51,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209293314,05/11/2023 18:34:53,1699209293314,0,05/11/2023 18:34:53,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2001.1599999284745,1999.7430000000004,2001.1599999284745,2001.1599999284745,1999.7430000000004,2001.1599999284745,1,2001.1599999284745,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209294313,05/11/2023 18:34:54,1699209294313,0,05/11/2023 18:34:54,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.5169999523159,999.8789999999999,1000.5169999523159,1000.5169999523159,999.8789999999999,1000.5169999523159,1,1000.5169999523159,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11111.jpg,,berand.JPG,,,11111_2,,,,,,,,,,
4,1699209296313,05/11/2023 18:34:56,1699209296313,0,05/11/2023 18:34:56,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.8379999999997,2000.1180000000004,2000.8379999999997,2000.8379999999997,2000.1180000000004,2000.8379999999997,1,2000.8379999999997,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11111.jpg,,berand.JPG,,,11111_2,,,,,,,,,,
5,1699209297284,05/11/2023 18:34:57,1699209297284,0,05/11/2023 18:34:57,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,1,bug_images,Screen 3,o7ugiu,3,timedOut,,971.8200000238412,967.2199999999993,971.8200000238412,971.8200000238412,967.2199999999993,971.8200000238412,1,971.8200000238412,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11111.jpg,,berand.JPG,,,11111_2,,,,,,,,,,
6,1699209298288,05/11/2023 18:34:58,1699209298288,0,05/11/2023 18:34:58,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,1,bug_images,Screen 4,3mgwer,4,timedOut,,1008.1999999284744,999.3590000000004,1008.1999999284744,1008.1999999284744,999.3590000000004,1008.1999999284744,1,1008.1999999284744,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11111.jpg,,berand.JPG,,,11111_2,,,,,,,,,,
7,1699209299283,05/11/2023 18:34:59,1699209299283,0,05/11/2023 18:34:59,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,2,bug_images,Screen 1,4vghlo,1,timedOut,,1003.840999928474,1000.7029999999995,1003.840999928474,1003.840999928474,1000.7029999999995,1003.840999928474,1,1003.840999928474,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11111.jpg,,berand.JPG,,,11111_2,,,,,,,,,,
8,1699209301281,05/11/2023 18:35:01,1699209301281,0,05/11/2023 18:35:01,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.6379999284745,2000.2579999999998,2001.6379999284745,2001.6379999284745,2000.2579999999998,2001.6379999284745,1,2001.6379999284745,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11111.jpg,,berand.JPG,,,11111_2,,,,,,,,,,
9,1699209301781,05/11/2023 18:35:01,1699209301781,0,05/11/2023 18:35:01,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.07999997615843,499.9160000000011,501.07999997615843,501.07999997615843,499.9160000000011,501.07999997615843,1,501.07999997615843,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11111.jpg,,berand.JPG,,,11111_2,,,,,,,,,,
10,1699209302780,05/11/2023 18:35:02,1699209302780,0,05/11/2023 18:35:02,131657,10,task-mhc3,,32721693,BLIND,9682893,,complete,,6547dfa1493d78712f637d45,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1366x768,1366x657,,,0,bugs_2,14,48,consent,Spreadsheet48,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.7639999999992,1000.018,1000.7639999999992,1000.7639999999992,1000.018,1000.7639999999992,1,1000.7639999999992,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11111.jpg,,berand.JPG,,,11111_2,,,,,,,,,,
