Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209521296,05/11/2023 18:38:41,1699180721296,-8,05/11/2023 02:38:41,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209523280,05/11/2023 18:38:43,1699180723280,-8,05/11/2023 02:38:43,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2000.955,2000.112,2000.955,2000.955,2000.112,2000.955,1,2000.955,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209524280,05/11/2023 18:38:44,1699180724280,-8,05/11/2023 02:38:44,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,1,bug_images,Screen 1,4vghlo,1,timedOut,,1001.0429999880789,999.9639999999999,1001.0429999880789,1001.0429999880789,999.9639999999999,1001.0429999880789,1,1001.0429999880789,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21111.jpg,,gestinct.JPG,,,21111_1,,,,,,,,,,
4,1699209526279,05/11/2023 18:38:46,1699180726279,-8,05/11/2023 02:38:46,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.879,2000.0860000000002,2000.879,2000.879,2000.0860000000002,2000.879,1,2000.879,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21111.jpg,,gestinct.JPG,,,21111_1,,,,,,,,,,
5,1699209526780,05/11/2023 18:38:46,1699180726780,-8,05/11/2023 02:38:46,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.8930000238415,500.2550000000001,500.8930000238415,500.8930000238415,500.2550000000001,500.8930000238415,1,500.8930000238415,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21111.jpg,,gestinct.JPG,,,21111_1,,,,,,,,,,
6,1699209527779,05/11/2023 18:38:47,1699180727779,-8,05/11/2023 02:38:47,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.4379999761577,999.915,1000.4379999761577,1000.4379999761577,999.915,1000.4379999761577,1,1000.4379999761577,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21111.jpg,,gestinct.JPG,,,21111_1,,,,,,,,,,
7,1699209528779,05/11/2023 18:38:48,1699180728779,-8,05/11/2023 02:38:48,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.5229999761577,999.8459999999995,1000.5229999761577,1000.5229999761577,999.8459999999995,1000.5229999761577,1,1000.5229999761577,0,0,,Time Limit,screen,0,screen,bug_images,5,9,11121.jpg,,berand.JPG,,,11121_2,,,,,,,,,,
8,1699209530779,05/11/2023 18:38:50,1699180730779,-8,05/11/2023 02:38:50,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.1769999761582,1999.8940000000002,2000.1769999761582,2000.1769999761582,1999.8940000000002,2000.1769999761582,1,2000.1769999761582,0,0,,Time Limit,screen,0,screen,bug_images,5,9,11121.jpg,,berand.JPG,,,11121_2,,,,,,,,,,
9,1699209531279,05/11/2023 18:38:51,1699180731279,-8,05/11/2023 02:38:51,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.5829999880789,500.01900000000023,500.5829999880789,500.5829999880789,500.01900000000023,500.5829999880789,1,500.5829999880789,0,0,,Time Limit,screen,0,screen,bug_images,5,9,11121.jpg,,berand.JPG,,,11121_2,,,,,,,,,,
10,1699209532279,05/11/2023 18:38:52,1699180732279,-8,05/11/2023 02:38:52,131657,10,task-nsjf,,32721726,BLIND,9682910,,complete,,6547df9789ebff2a88335296,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x738,,,0,bugs_2,14,30,consent,Spreadsheet30,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.5639999880786,1000.0389999999989,1000.5639999880786,1000.5639999880786,1000.0389999999989,1000.5639999880786,1,1000.5639999880786,0,0,,Time Limit,screen,0,screen,bug_images,5,9,11121.jpg,,berand.JPG,,,11121_2,,,,,,,,,,
