Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695296792434,21/09/2023 11:46:32,1695300392434,1,21/09/2023 13:46:32,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695296794383,21/09/2023 11:46:34,1695300394383,1,21/09/2023 13:46:34,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.3630000357628,2000.715,2002.3630000357628,2002.3630000357628,2000.715,2002.3630000357628,1,2002.3630000357628,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695296795382,21/09/2023 11:46:35,1695300395382,1,21/09/2023 13:46:35,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.748,999.7269999999999,1000.748,1000.748,999.7269999999999,1000.748,1,1000.748,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21121.jpg,,angen.JPG,,,21121_2,,,,,,,,,,
4,1695296797382,21/09/2023 11:46:37,1695300397382,1,21/09/2023 13:46:37,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.0210000000002,1999.6470000000004,2001.0210000000002,2001.0210000000002,1999.6470000000004,2001.0210000000002,1,2001.0210000000002,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21121.jpg,,angen.JPG,,,21121_2,,,,,,,,,,
5,1695296797881,21/09/2023 11:46:37,1695300397881,1,21/09/2023 13:46:37,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.97400002384165,499.9259999999995,500.97400002384165,500.97400002384165,499.9259999999995,500.97400002384165,1,500.97400002384165,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21121.jpg,,angen.JPG,,,21121_2,,,,,,,,,,
6,1695296798882,21/09/2023 11:46:38,1695300398882,1,21/09/2023 13:46:38,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,1,bug_images,Screen 4,3mgwer,4,timedOut,,1001.3480000357631,1000.1460000000006,1001.3480000357631,1001.3480000357631,1000.1460000000006,1001.3480000357631,1,1001.3480000357631,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21121.jpg,,angen.JPG,,,21121_2,,,,,,,,,,
7,1695296799880,21/09/2023 11:46:39,1695300399880,1,21/09/2023 13:46:39,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.1020000119206,999.5280000000002,1000.1020000119206,1000.1020000119206,999.5280000000002,1000.1020000119206,1,1000.1020000119206,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21221.jpg,,angen.JPG,,,21221_2,,,,,,,,,,
8,1695296801880,21/09/2023 11:46:41,1695300401880,1,21/09/2023 13:46:41,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.7739999999994,1999.8850000000002,2000.7739999999994,2000.7739999999994,1999.8850000000002,2000.7739999999994,1,2000.7739999999994,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21221.jpg,,angen.JPG,,,21221_2,,,,,,,,,,
9,1695296802380,21/09/2023 11:46:42,1695300402380,1,21/09/2023 13:46:42,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.8889999999992,499.91599999999926,500.8889999999992,500.8889999999992,499.91599999999926,500.8889999999992,1,500.8889999999992,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21221.jpg,,angen.JPG,,,21221_2,,,,,,,,,,
10,1695296803380,21/09/2023 11:46:43,1695300403380,1,21/09/2023 13:46:43,131657,10,task-r4lt,,31778429,BLIND,9398846,,complete,,650c393f76d049112eab00f9,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,13,consent,Spreadsheet13,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.672999988079,999.8670000000002,1000.672999988079,1000.672999988079,999.8670000000002,1000.672999988079,1,1000.672999988079,0,0,,Time Limit,screen,0,screen,bug_images,10,19,21221.jpg,,angen.JPG,,,21221_2,,,,,,,,,,
