Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209579731,05/11/2023 18:39:39,1699191579731,-5,05/11/2023 08:39:39,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209581661,05/11/2023 18:39:41,1699191581661,-5,05/11/2023 08:39:41,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2000.9479999999999,1999.8470000000002,2000.9479999999999,2000.9479999999999,1999.8470000000002,2000.9479999999999,1,2000.9479999999999,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209582661,05/11/2023 18:39:42,1699191582661,-5,05/11/2023 08:39:42,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.8009999880787,999.9949999999999,1000.8009999880787,1000.8009999880787,999.9949999999999,1000.8009999880787,1,1000.8009999880787,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,berand.JPG,,,11211_2,,,,,,,,,,
4,1699209584660,05/11/2023 18:39:44,1699191584660,-5,05/11/2023 08:39:44,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.505999976158,1999.857,2000.505999976158,2000.505999976158,1999.857,2000.505999976158,1,2000.505999976158,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,berand.JPG,,,11211_2,,,,,,,,,,
5,1699209585161,05/11/2023 18:39:45,1699191585161,-5,05/11/2023 08:39:45,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.7489999999998,499.9840000000004,500.7489999999998,500.7489999999998,499.9840000000004,500.7489999999998,1,500.7489999999998,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,berand.JPG,,,11211_2,,,,,,,,,,
6,1699209586161,05/11/2023 18:39:46,1699191586161,-5,05/11/2023 08:39:46,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.6649999761576,999.9419999999991,1000.6649999761576,1000.6649999761576,999.9419999999991,1000.6649999761576,1,1000.6649999761576,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,berand.JPG,,,11211_2,,,,,,,,,,
7,1699209587160,05/11/2023 18:39:47,1699191587160,-5,05/11/2023 08:39:47,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.6230000119212,999.9889999999996,1000.6230000119212,1000.6230000119212,999.9889999999996,1000.6230000119212,1,1000.6230000119212,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,gestinct.JPG,,,11211_1,,,,,,,,,,
8,1699209589160,05/11/2023 18:39:49,1699191589160,-5,05/11/2023 08:39:49,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.5339999880798,1999.9090000000015,2000.5339999880798,2000.5339999880798,1999.9090000000015,2000.5339999880798,1,2000.5339999880798,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,gestinct.JPG,,,11211_1,,,,,,,,,,
9,1699209589660,05/11/2023 18:39:49,1699191589660,-5,05/11/2023 08:39:49,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.62499998807834,499.9969999999994,500.62499998807834,500.62499998807834,499.9969999999994,500.62499998807834,1,500.62499998807834,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,gestinct.JPG,,,11211_1,,,,,,,,,,
10,1699209590660,05/11/2023 18:39:50,1699191590660,-5,05/11/2023 08:39:50,131657,10,task-swli,,32721730,BLIND,9682915,,complete,,6547dfbc59e7f644c639038c,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x768,,,0,bugs_2,14,36,consent,Spreadsheet36,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.627999988079,999.8960000000006,1000.627999988079,1000.627999988079,999.8960000000006,1000.627999988079,1,1000.627999988079,0,0,,Time Limit,screen,0,screen,bug_images,10,19,11211.jpg,,gestinct.JPG,,,11211_1,,,,,,,,,,
