Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209757349,05/11/2023 18:42:37,1699213357349,1,05/11/2023 20:42:37,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209759306,05/11/2023 18:42:39,1699213359306,1,05/11/2023 20:42:39,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.1460000000006,2000.2799999999988,2002.1460000000006,2002.1460000000006,2000.2799999999988,2002.1460000000006,1,2002.1460000000006,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209804613,05/11/2023 18:43:24,1699213404613,1,05/11/2023 20:43:24,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.7449999940363,999.6399999999994,1000.7449999940363,1000.7449999940363,999.6399999999994,1000.7449999940363,1,1000.7449999940363,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11211.jpg,,orgen.JPG,,,11211_1,,,,,,,,,,
4,1699209806616,05/11/2023 18:43:26,1699213406616,1,05/11/2023 20:43:26,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2004.4049999910567,2003.548999999999,2004.4049999910567,2004.4049999910567,2003.548999999999,2004.4049999910567,1,2004.4049999910567,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11211.jpg,,orgen.JPG,,,11211_1,,,,,,,,,,
5,1699209806986,05/11/2023 18:43:26,1699213406986,1,05/11/2023 20:43:26,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,1,bug_images,Screen 3,o7ugiu,3,timedOut,,370.05599999403785,349.87400000000343,370.05599999403785,370.05599999403785,349.87400000000343,370.05599999403785,1,370.05599999403785,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11211.jpg,,orgen.JPG,,,11211_1,,,,,,,,,,
6,1699209807966,05/11/2023 18:43:27,1699213407966,1,05/11/2023 20:43:27,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.8819999970146,999.7799999999988,1000.8819999970146,1000.8819999970146,999.7799999999988,1000.8819999970146,1,1000.8819999970146,0,0,,Time Limit,screen,0,screen,bug_images,1,1,11211.jpg,,orgen.JPG,,,11211_1,,,,,,,,,,
7,1699209813514,05/11/2023 18:43:33,1699213413514,1,05/11/2023 20:43:33,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.4369999940391,999.6399999999994,1000.4369999940391,1000.4369999940391,999.6399999999994,1000.4369999940391,1,1000.4369999940391,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
8,1699209815514,05/11/2023 18:43:35,1699213415514,1,05/11/2023 20:43:35,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.5969999910594,1999.7550000000047,2000.5969999910594,2000.5969999910594,1999.7550000000047,2000.5969999910594,1,2000.5969999910594,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
9,1699209816015,05/11/2023 18:43:36,1699213416015,1,05/11/2023 20:43:36,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.64199998807453,500.0610000000015,501.64199998807453,501.64199998807453,500.0610000000015,501.64199998807453,1,501.64199998807453,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
10,1699209817014,05/11/2023 18:43:37,1699213417014,1,05/11/2023 20:43:37,131657,10,task-tjjj,,32721750,BLIND,9682899,,complete,,6547dfb9362d662fc1914b93,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x783,,,0,bugs_2,14,16,consent,Spreadsheet16,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.6809999970137,999.6469999999972,1000.6809999970137,1000.6809999970137,999.6469999999972,1000.6809999970137,1,1000.6809999970137,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21111.jpg,,dering.JPG,,,21111_2,,,,,,,,,,
