Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1695296330729,21/09/2023 11:38:50,1695299930729,1,21/09/2023 13:38:50,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1695296332712,21/09/2023 11:38:52,1695299932712,1,21/09/2023 13:38:52,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2001.27,2000.2420000000002,2001.27,2001.27,2000.2420000000002,2001.27,1,2001.27,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1695296333711,21/09/2023 11:38:53,1695299933711,1,21/09/2023 13:38:53,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.4280000357626,999.7779999999998,1000.4280000357626,1000.4280000357626,999.7779999999998,1000.4280000357626,1,1000.4280000357626,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21121.jpg,,hally.JPG,,,21121_1,,,,,,,,,,
4,1695296335712,21/09/2023 11:38:55,1695299935712,1,21/09/2023 13:38:55,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.1500000357628,2000.326,2001.1500000357628,2001.1500000357628,2000.326,2001.1500000357628,1,2001.1500000357628,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21121.jpg,,hally.JPG,,,21121_1,,,,,,,,,,
5,1695296336211,21/09/2023 11:38:56,1695299936211,1,21/09/2023 13:38:56,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.424,499.7460000000001,500.424,500.424,499.7460000000001,500.424,1,500.424,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21121.jpg,,hally.JPG,,,21121_1,,,,,,,,,,
6,1695296337211,21/09/2023 11:38:57,1695299937211,1,21/09/2023 13:38:57,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.7780000238417,1000.2330000000002,1000.7780000238417,1000.7780000238417,1000.2330000000002,1000.7780000238417,1,1000.7780000238417,0,0,,Time Limit,screen,0,screen,bug_images,9,17,21121.jpg,,hally.JPG,,,21121_1,,,,,,,,,,
7,1695296338211,21/09/2023 11:38:58,1695299938211,1,21/09/2023 13:38:58,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.3450000357625,999.6459999999997,1000.3450000357625,1000.3450000357625,999.6459999999997,1000.3450000357625,1,1000.3450000357625,0,0,,Time Limit,screen,0,screen,bug_images,9,17,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
8,1695296340211,21/09/2023 11:39:00,1695299940211,1,21/09/2023 13:39:00,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.099000011921,2000.3480000000009,2001.099000011921,2001.099000011921,2000.3480000000009,2001.099000011921,1,2001.099000011921,0,0,,Time Limit,screen,0,screen,bug_images,9,17,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
9,1695296340711,21/09/2023 11:39:00,1695299940711,1,21/09/2023 13:39:00,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.1510000476828,499.65099999999984,500.1510000476828,500.1510000476828,499.65099999999984,500.1510000476828,1,500.1510000476828,0,0,,Time Limit,screen,0,screen,bug_images,9,17,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
10,1695296341711,21/09/2023 11:39:01,1695299941711,1,21/09/2023 13:39:01,131657,10,task-v2ki,,31778249,BLIND,9398838,,complete,,650c38f30288f47605079f0e,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1646x1029,1646x872,,,0,bugs_2,14,33,consent,Spreadsheet33,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.1000000119202,1000.0509999999995,1001.1000000119202,1001.1000000119202,1000.0509999999995,1001.1000000119202,1,1001.1000000119202,0,0,,Time Limit,screen,0,screen,bug_images,9,17,11121.jpg,,hally.JPG,,,11121_1,,,,,,,,,,
