Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209412944,05/11/2023 18:36:52,1699209412944,0,05/11/2023 18:36:52,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209414919,05/11/2023 18:36:54,1699209414919,0,05/11/2023 18:36:54,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2002.2369999046325,2000.1490000000001,2002.2369999046325,2002.2369999046325,2000.1490000000001,2002.2369999046325,1,2002.2369999046325,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209415917,05/11/2023 18:36:55,1699209415917,0,05/11/2023 18:36:55,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,1,bug_images,Screen 1,4vghlo,1,timedOut,,1000.887999976158,1000.0149999999999,1000.887999976158,1000.887999976158,1000.0149999999999,1000.887999976158,1,1000.887999976158,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21221.jpg,,conter.JPG,,,21221_1,,,,,,,,,,
4,1699209417917,05/11/2023 18:36:57,1699209417917,0,05/11/2023 18:36:57,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2000.973,2000.0349999999999,2000.973,2000.973,2000.0349999999999,2000.973,1,2000.973,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21221.jpg,,conter.JPG,,,21221_1,,,,,,,,,,
5,1699209418417,05/11/2023 18:36:58,1699209418417,0,05/11/2023 18:36:58,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,1,bug_images,Screen 3,o7ugiu,3,timedOut,,500.6379999284745,499.84600000000046,500.6379999284745,500.6379999284745,499.84600000000046,500.6379999284745,1,500.6379999284745,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21221.jpg,,conter.JPG,,,21221_1,,,,,,,,,,
6,1699209419417,05/11/2023 18:36:59,1699209419417,0,05/11/2023 18:36:59,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.7919999284741,1000.0329999999994,1000.7919999284741,1000.7919999284741,1000.0329999999994,1000.7919999284741,1,1000.7919999284741,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21221.jpg,,conter.JPG,,,21221_1,,,,,,,,,,
7,1699209420416,05/11/2023 18:37:00,1699209420416,0,05/11/2023 18:37:00,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.4589999761583,999.9640000000009,1000.4589999761583,1000.4589999761583,999.9640000000009,1000.4589999761583,1,1000.4589999761583,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21221.jpg,,conter.JPG,,,21221_1,,,,,,,,,,
8,1699209422418,05/11/2023 18:37:02,1699209422418,0,05/11/2023 18:37:02,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.694999904632,2000.235999999999,2001.694999904632,2001.694999904632,2000.235999999999,2001.694999904632,1,2001.694999904632,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21221.jpg,,conter.JPG,,,21221_1,,,,,,,,,,
9,1699209422917,05/11/2023 18:37:02,1699209422917,0,05/11/2023 18:37:02,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.8590000000004,499.9850000000006,500.8590000000004,500.8590000000004,499.9850000000006,500.8590000000004,1,500.8590000000004,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21221.jpg,,conter.JPG,,,21221_1,,,,,,,,,,
10,1699209423917,05/11/2023 18:37:03,1699209423917,0,05/11/2023 18:37:03,131657,10,task-vkgf,,32721713,BLIND,9682890,,complete,,6547dfa5cdee936ceecf71c2,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1280x720,1600x900,,,0,bugs_2,14,44,consent,Spreadsheet44,2,bug_images,Screen 4,3mgwer,4,timedOut,,1000.8739999999998,999.9589999999989,1000.8739999999998,1000.8739999999998,999.9589999999989,1000.8739999999998,1,1000.8739999999998,0,0,,Time Limit,screen,0,screen,bug_images,1,1,21221.jpg,,conter.JPG,,,21221_1,,,,,,,,,,
