Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699209974855,05/11/2023 18:46:14,1699209974855,0,05/11/2023 18:46:14,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699209976721,05/11/2023 18:46:16,1699209976721,0,05/11/2023 18:46:16,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,1,progress_screen,Screen 1,c3p92z,1,timedOut,,2001.5960000953673,2000.0929999999998,2001.5960000953673,2001.5960000953673,2000.0929999999998,2001.5960000953673,1,2001.5960000953673,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699209977722,05/11/2023 18:46:17,1699209977722,0,05/11/2023 18:46:17,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,1,bug_images,Screen 1,4vghlo,1,timedOut,,1002.0030000953675,1000.2579999999998,1002.0030000953675,1002.0030000953675,1000.2579999999998,1002.0030000953675,1,1002.0030000953675,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21121.jpg,,stanis.JPG,,,21121_2,,,,,,,,,,
4,1699209979722,05/11/2023 18:46:19,1699209979722,0,05/11/2023 18:46:19,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,1,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.7450000953677,2000.04,2001.7450000953677,2001.7450000953677,2000.04,2001.7450000953677,1,2001.7450000953677,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21121.jpg,,stanis.JPG,,,21121_2,,,,,,,,,,
5,1699209980522,05/11/2023 18:46:20,1699209980522,0,05/11/2023 18:46:20,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,1,bug_images,Screen 3,o7ugiu,3,timedOut,,802.1049999523166,799.8280000000004,802.1049999523166,802.1049999523166,799.8280000000004,802.1049999523166,1,802.1049999523166,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21121.jpg,,stanis.JPG,,,21121_2,,,,,,,,,,
6,1699209981289,05/11/2023 18:46:21,1699209981289,0,05/11/2023 18:46:21,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,1,bug_images,Screen 4,3mgwer,4,timedOut,,769.5769999046324,766.8810000000003,769.5769999046324,769.5769999046324,766.8810000000003,769.5769999046324,1,769.5769999046324,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21121.jpg,,stanis.JPG,,,21121_2,,,,,,,,,,
7,1699209982288,05/11/2023 18:46:22,1699209982288,0,05/11/2023 18:46:22,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,2,bug_images,Screen 1,4vghlo,1,timedOut,,1001.5959999999995,1000.0149999999994,1001.5959999999995,1001.5959999999995,1000.0149999999994,1001.5959999999995,1,1001.5959999999995,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21121.jpg,,stanis.JPG,,,21121_2,,,,,,,,,,
8,1699209984288,05/11/2023 18:46:24,1699209984288,0,05/11/2023 18:46:24,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,2,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.6809999046327,2000.036,2001.6809999046327,2001.6809999046327,2000.036,2001.6809999046327,1,2001.6809999046327,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21121.jpg,,stanis.JPG,,,21121_2,,,,,,,,,,
9,1699209984788,05/11/2023 18:46:24,1699209984788,0,05/11/2023 18:46:24,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,2,bug_images,Screen 3,o7ugiu,3,timedOut,,501.7450000476838,500.2970000000005,501.7450000476838,501.7450000476838,500.2970000000005,501.7450000476838,1,501.7450000476838,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21121.jpg,,stanis.JPG,,,21121_2,,,,,,,,,,
10,1699209985788,05/11/2023 18:46:25,1699209985788,0,05/11/2023 18:46:25,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,2,bug_images,Screen 4,3mgwer,4,timedOut,,1001.3479999046322,999.7430000000004,1001.3479999046322,1001.3479999046322,999.7430000000004,1001.3479999046322,1,1001.3479999046322,0,0,,Time Limit,screen,0,screen,bug_images,5,9,21121.jpg,,stanis.JPG,,,21121_2,,,,,,,,,,
11,1699209986788,05/11/2023 18:46:26,1699209986788,0,05/11/2023 18:46:26,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,3,bug_images,Screen 1,4vghlo,1,timedOut,,1001.9050000953666,1000.0189999999984,1001.9050000953666,1001.9050000953666,1000.0189999999984,1001.9050000953666,1,1001.9050000953666,0,0,,Time Limit,screen,0,screen,bug_images,5,9,11211.jpg,,hally.JPG,,,11211_1,,,,,,,,,,
12,1699209988788,05/11/2023 18:46:28,1699209988788,0,05/11/2023 18:46:28,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,3,bug_images,Screen 2,fzyf7b,2,timedOut,,2001.8860000953682,2000.0380000000005,2001.8860000953682,2001.8860000953682,2000.0380000000005,2001.8860000953682,1,2001.8860000953682,0,0,,Time Limit,screen,0,screen,bug_images,5,9,11211.jpg,,hally.JPG,,,11211_1,,,,,,,,,,
13,1699209989288,05/11/2023 18:46:29,1699209989288,0,05/11/2023 18:46:29,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,3,bug_images,Screen 3,o7ugiu,3,timedOut,,501.34800009536775,500.0139999999992,501.34800009536775,501.34800009536775,500.0139999999992,501.34800009536775,1,501.34800009536775,0,0,,Time Limit,screen,0,screen,bug_images,5,9,11211.jpg,,hally.JPG,,,11211_1,,,,,,,,,,
14,1699209990034,05/11/2023 18:46:30,1699209990034,0,05/11/2023 18:46:30,131657,10,task-woyn,,32721774,BLIND,9682918,,complete,,6547dfb8530d26b9005bcc29,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1280x720,1280x720,,,0,bugs_2,14,15,consent,Spreadsheet15,3,bug_images,Screen 4,3mgwer,4,timedOut,,747.9340000000011,733.1910000000025,747.9340000000011,747.9340000000011,733.1910000000025,747.9340000000011,1,747.9340000000011,0,0,,Time Limit,screen,0,screen,bug_images,5,9,11211.jpg,,hally.JPG,,,11211_1,,,,,,,,,,
