Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-37bt,branch-tk52,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: Image,Spreadsheet: ANSWER,Spreadsheet: Category,Spreadsheet: Text,Spreadsheet: Text2,Spreadsheet: bug_id,Spreadsheet: test1,Spreadsheet: test2,Spreadsheet: test3,Spreadsheet: test4,Spreadsheet: test5,Spreadsheet: test6,Spreadsheet: test7,Spreadsheet: test8,Spreadsheet: test_category,Manipulation: Spreadsheet
1,1699211569190,05/11/2023 19:12:49,1699211569190,0,05/11/2023 19:12:49,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699211571132,05/11/2023 19:12:51,1699211571132,0,05/11/2023 19:12:51,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,1,progress_screen,Screen 1,c3p92z,1,timedOut,,1999.56,1998.7199999999998,1999.56,1999.56,1998.7199999999998,1999.56,1,1999.56,0,0,,Time Limit,screen,0,screen,progress_screen,,,,,,Learning block 1 of 10,,,,,,,,,,,,
3,1699211572132,05/11/2023 19:12:52,1699211572132,0,05/11/2023 19:12:52,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,1,bug_images,Screen 1,4vghlo,1,timedOut,,999.8400000000001,999.4000000000005,999.8400000000001,999.8400000000001,999.4000000000005,999.8400000000001,1,999.8400000000001,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,unters.JPG,,,21221_1,,,,,,,,,,
4,1699211574130,05/11/2023 19:12:54,1699211574130,0,05/11/2023 19:12:54,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,1,bug_images,Screen 2,fzyf7b,2,timedOut,,1999.4399999999996,1998.8399999999992,1999.4399999999996,1999.4399999999996,1998.8399999999992,1999.4399999999996,1,1999.4399999999996,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,unters.JPG,,,21221_1,,,,,,,,,,
5,1699211574631,05/11/2023 19:12:54,1699211574631,0,05/11/2023 19:12:54,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,1,bug_images,Screen 3,o7ugiu,3,timedOut,,501.60000000000036,499.5799999999999,501.60000000000036,501.60000000000036,499.5799999999999,501.60000000000036,1,501.60000000000036,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,unters.JPG,,,21221_1,,,,,,,,,,
6,1699211575629,05/11/2023 19:12:55,1699211575629,0,05/11/2023 19:12:55,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,1,bug_images,Screen 4,3mgwer,4,timedOut,,1000.0200000000004,999.3400000000001,1000.0200000000004,1000.0200000000004,999.3400000000001,1000.0200000000004,1,1000.0200000000004,0,0,,Time Limit,screen,0,screen,bug_images,3,5,21221.jpg,,unters.JPG,,,21221_1,,,,,,,,,,
7,1699211576628,05/11/2023 19:12:56,1699211576628,0,05/11/2023 19:12:56,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,2,bug_images,Screen 1,4vghlo,1,timedOut,,1000.6800000000003,999.4400000000005,1000.6800000000003,1000.6800000000003,999.4400000000005,1000.6800000000003,1,1000.6800000000003,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,unters.JPG,,,11111_1,,,,,,,,,,
8,1699211578627,05/11/2023 19:12:58,1699211578627,0,05/11/2023 19:12:58,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,2,bug_images,Screen 2,fzyf7b,2,timedOut,,1999.2399999999998,1998.7199999999993,1999.2399999999998,1999.2399999999998,1998.7199999999993,1999.2399999999998,1,1999.2399999999998,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,unters.JPG,,,11111_1,,,,,,,,,,
9,1699211579127,05/11/2023 19:12:59,1699211579127,0,05/11/2023 19:12:59,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,2,bug_images,Screen 3,o7ugiu,3,timedOut,,500.52000000000044,499.64000000000124,500.52000000000044,500.52000000000044,499.64000000000124,500.52000000000044,1,500.52000000000044,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,unters.JPG,,,11111_1,,,,,,,,,,
10,1699211580126,05/11/2023 19:13:00,1699211580126,0,05/11/2023 19:13:00,131657,10,task-xegj,,32722047,BLIND,9682894,,complete,,6547dfb94fa3ed96e294a0b4,computer,Desktop or Laptop,Windows 10,Firefox 118.0,3232x1818,3232x1431,,,0,bugs_2,14,5,consent,Spreadsheet5,2,bug_images,Screen 4,3mgwer,4,timedOut,,999.8799999999992,999.2799999999988,999.8799999999992,999.8799999999992,999.2799999999988,999.8799999999992,1,999.8799999999992,0,0,,Time Limit,screen,0,screen,bug_images,3,5,11111.jpg,,unters.JPG,,,11111_1,,,,,,,,,,
