strong,weak1,weak2,prototype
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,1,0
1,0,0,0
0,0,0,1
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,0
1,0,0,0
0,0,1,0
1,0,0,0
0,0,0,1
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,0
0,0,0,1
0,0,1,0
0,1,0,0
0,1,0,0
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,0,0,1
0,0,0,1
0,0,1,0
1,0,0,0
0,0,0,1
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,1,0,0
0,0,1,0
0,0,0,1
0,0,0,1
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,0,1,0
0,0,1,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,0,0,1
1,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,0,0,1
1,0,0,0
0,1,0,0
0,0,0,1
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,1,0,0
0,0,0,1
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,1
0,1,0,0
1,0,0,0
0,1,0,0
0,0,1,0
0,0,1,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,0,1
0,1,0,0
0,0,0,1
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,0
0,1,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,1,0
1,0,0,0
