id,trial,best_strategy,best_alpha,best_nlogl,strong_alpha,strong_nlogl,weak1_alpha,weak1_nlogl,weak2_alpha,weak2_nlogl,proto_alpha,proto_nlogl,strategy,alpha,nlog_likel
9398850,1,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398850,2,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398850,3,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398850,4,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398850,5,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398850,6,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398850,7,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398850,8,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398850,9,,,,,,,,,,,,prototype,0.3333,7.6381700266901955
9398850,10,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398813,1,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398813,2,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398813,3,,,,,,,,,,,,weak1,-0.3333,7.638170026690196
9398813,4,,,,,,,,,,,,weak1,-0.3333,7.638170026690196
9398813,5,,,,,,,,,,,,weak1,-0.3333,7.638170026690196
9398813,6,,,,,,,,,,,,weak1,-0.3333,7.638170026690196
9398813,7,,,,,,,,,,,,weak1,-0.1667,8.150319198437836
9398813,8,,,,,,,,,,,,weak1,-0.1667,8.150319198437836
9398813,9,,,,,,,,,,,,weak1,-0.1667,8.150319198437836
9398813,10,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398836,1,,,,,,,,,,,,weak1,0.1667,8.150319198437838
9398836,2,,,,,,,,,,,,weak1,0.3333,7.6381700266901955
9398836,3,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398836,4,,,,,,,,,,,,strong,-0.1667,8.150319198437836
9398836,5,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398836,6,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398836,7,,,,,,,,,,,,weak2,-0.1667,8.150319198437836
9398836,8,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398836,9,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398836,10,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398848,1,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398848,2,,,,,,,,,,,,weak1,0.3333,7.6381700266901955
9398848,3,,,,,,,,,,,,weak2,-0.1667,8.150319198437836
9398848,4,,,,,,,,,,,,prototype,-0.1667,8.150319198437836
9398848,5,,,,,,,,,,,,strong,-0.1667,8.150319198437836
9398848,6,,,,,,,,,,,,weak1,0.1667,8.150319198437838
9398848,7,,,,,,,,,,,,weak1,-0.1667,8.150319198437836
9398848,8,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398848,9,,,,,,,,,,,,weak2,-0.1667,8.150319198437836
9398848,10,,,,,,,,,,,,strong,0.1667,8.150319198437838
9399464,1,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9399464,2,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9399464,3,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9399464,4,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9399464,5,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9399464,6,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9399464,7,,,,,,,,,,,,prototype,0.3333,7.6381700266901955
9399464,8,,,,,,,,,,,,prototype,0.3333,7.6381700266901955
9399464,9,,,,,,,,,,,,strong,0.1667,8.150319198437838
9399464,10,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398806,1,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398806,2,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398806,3,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398806,4,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398806,5,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398806,6,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398806,7,,,,,,,,,,,,strong,-0.3333,7.638170026690196
9398806,8,,,,,,,,,,,,strong,-0.1667,8.150319198437836
9398806,9,,,,,,,,,,,,weak1,-0.1667,8.150319198437836
9398806,10,,,,,,,,,,,,strong,0.1667,8.150319198437838
9398835,1,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398835,2,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398835,3,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398835,4,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398835,5,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398835,6,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398835,7,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398835,8,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398835,9,,,,,,,,,,,,weak1,-0.1667,8.150319198437836
9398835,10,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398843,1,,,,,,,,,,,,weak1,0.3333,7.6381700266901955
9398843,2,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398843,3,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398843,4,,,,,,,,,,,,weak1,-0.3333,7.638170026690196
9398843,5,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398843,6,,,,,,,,,,,,strong,-0.3333,7.638170026690196
9398843,7,,,,,,,,,,,,strong,-0.3333,7.638170026690196
9398843,8,,,,,,,,,,,,weak2,-0.3333,7.638170026690196
9398843,9,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398843,10,,,,,,,,,,,,weak2,-0.3333,7.638170026690196
9398846,1,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,2,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,3,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,4,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,5,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,6,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,7,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,8,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,9,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398846,10,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398838,1,,,,,,,,,,,,weak1,0.1667,8.150319198437838
9398838,2,,,,,,,,,,,,weak1,0.3333,7.6381700266901955
9398838,3,,,,,,,,,,,,weak2,0.3333,7.6381700266901955
9398838,4,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398838,5,,,,,,,,,,,,weak1,-0.1667,8.150319198437836
9398838,6,,,,,,,,,,,,prototype,0.3333,7.6381700266901955
9398838,7,,,,,,,,,,,,strong,0.3333,7.6381700266901955
9398838,8,,,,,,,,,,,,weak1,0.1667,8.150319198437838
9398838,9,,,,,,,,,,,,prototype,0.3333,7.6381700266901955
9398838,10,,,,,,,,,,,,strong,0.1667,8.150319198437838
